﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"ロッシュパンツ ( 品番 #1105410 )"	0	""	1	"日本"	"日本"	1	1009.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"寒い季節のトレッキングやウインタースポーツに最適な高機能パンツです。ストレッチ性を持つ生地とひざに施した立体裁断がスムーズな足上げを実現。エッジガードを装備し、ストレスポイントである尻とひざ部分には当て地を付けることで耐久性を高めています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.54	0		""				"ロッシュパンツ ( 品番 #1105410 )"
"ノマドパンツ Men's ( 品番 #1105413 )"	0	""	1	"日本"	"日本"	1	838.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"秋冬のトレッキングやクライミングでストレスのない快適な足上げを実現するパンツです。適度な防風性と保温性、通気性を併せ持つ素材を採用。横伸び方向のストレッチ性も備えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.405	0		""				"ノマドパンツ Men's ( 品番 #1105413 )"
"ノマドパンツ Women's ( 品番 #1105414 )"	0	""	1	"日本"	"日本"	1	761.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"秋冬のトレッキングやクライミングでストレスのない快適な足上げを実現するパンツです。適度な防風性と保温性、通気性を併せ持つ素材を採用。横伸び方向のストレッチ性も備えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.375	0		""				"ノマドパンツ Women's ( 品番 #1105414 )"
"ライニング トレッキングパンツ Men's ( 品番 #1105439 )"	0	""	1	"日本"	"日本"	1	675.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"暖かく、ゆったりとしたはき心地のパンツです。ウエスト周りを調節可能で、幅広いサイズの方に対応。軽量な表地に、肌触りがよく暖かい起毛地を合わせることで、軽快さと保温性を両立させています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.482	0		""				"ライニング トレッキングパンツ Men's ( 品番 #1105439 )"
"ライニング トレッキングパンツ Women's ( 品番 #1105440 )"	0	""	1	"日本"	"日本"	1	633.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"美しいシルエットと動きやすさを併せ持つ、暖かなはき心地のパンツです。軽量な表地に、肌触りがよく暖かい起毛地を合わせ、軽快さと保温性を両立させています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.41	0		""				"ライニング トレッキングパンツ Women's ( 品番 #1105440 )"
"ストレッチ ライニング カーゴパンツ Men's ( 品番 #1105441 )"	0	""	1	"日本"	"日本"	1	701.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"両サイドに設けたカーゴポケットにより、高い収納力を備えたパンツです。適度なハリ・コシがあり、コットンのような風合いの表地に、暖かな起毛裏地を組み合わせ、暖かさと軽快さを両立しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.487	0		""				"ストレッチ ライニング カーゴパンツ Men's ( 品番 #1105441 )"
"ストレッチ ライニング カーゴパンツ Women's ( 品番 #1105442 )"	0	""	1	"日本"	"日本"	1	667.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"両サイドに設けたカーゴポケットにより、高い収納力を備えたパンツです。適度なハリ・コシがあり、コットンのような風合いの表地に、暖かな起毛裏地を組み合わせ、暖かさと軽快さを両立しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.436	0		""				"ストレッチ ライニング カーゴパンツ Women's ( 品番 #1105442 )"
"マウンテンパンツ Men's ( 品番 #1105455 )"	0	""	1	"日本"	"日本"	1	983.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群の保温性と、縦・横方向への高いストレッチ性を備え、耐摩耗性にも優れたアクティブなパンツです。防風性が高く、裏側はウールを使用した起毛地で仕上げているため冬季トレッキングに最適な高い保温性を備えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.55	0		""				"マウンテンパンツ Men's ( 品番 #1105455 )"
"マウンテンパンツ Women's ( 品番 #1105456 )"	0	""	1	"日本"	"日本"	1	940.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群の保温性と、縦・横方向への高いストレッチ性を備え、耐摩耗性にも優れたアクティブなパンツです。防風性が高く、裏側はウールを使用した起毛地で仕上げているため冬季トレッキングに最適な高い保温性を備えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.463	0		""				"マウンテンパンツ Women's ( 品番 #1105456 )"
