﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"WIC.ストレッチ トレールニッカ Women's ( 品番 #1105480 )"	0	""	1	"日本"	"日本"	1	359.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群のストレッチ性と優れた吸水速乾性を備え、股上を浅めに設定したアクティブなデザインのニッカです。単体でも着用でき、トレッキングやフィットネスシーンなど、体を動かすあらゆるシーンで幅広く活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.161	0		""				"WIC.ストレッチ トレールニッカ Women's ( 品番 #1105480 )"
"KAMICO イージーパンツ Men's ( 品番 #2105219 )"	0	""	1	"日本"	"日本"	1	494.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群の通気性と肌離れのよさで、真夏でも快適に着用できるイージーパンツです。軽やかでしなやかなはき心地で、旅先や日常でのリラックスウエアなどに最適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.229	0		""				"KAMICO イージーパンツ Men's ( 品番 #2105219 )"
"KAMICO イージーパンツ Women's ( 品番 #2105220 )"	0	""	1	"日本"	"日本"	1	476.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群の通気性と肌離れのよさで、真夏でも快適に着用できるイージーパンツです。軽やかなはき心地で、旅先や日常でのリラックスウエアなどに最適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.208	0		""				"KAMICO イージーパンツ Women's ( 品番 #2105220 )"
"KAMICO イージーニッカ Men's ( 品番 #2105221 )"	0	""	1	"日本"	"日本"	1	453.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群の通気性と肌離れのよさで、真夏でも快適に着用できるニッカです。軽やかでしなやかなはき心地で、旅先や日常でのリラックスウエアなどに最適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.19	0		""				"KAMICO イージーニッカ Men's ( 品番 #2105221 )"
"KAMICO イージーニッカ Women's ( 品番 #2105222 )"	0	""	1	"日本"	"日本"	1	431.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群の通気性と肌離れのよさで、真夏でも快適に着用できるニッカです。軽やかなはき心地で、旅先や日常でのリラックスウエアなどに最適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.174	0		""				"KAMICO イージーニッカ Women's ( 品番 #2105222 )"
"コアスパン ショーツ Men's ( 品番 #2105223 )"	0	""	1	"日本"	"日本"	1	404.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"肌になじむ風合いの、ベーシックなデザインのショーツです。ストレッチ性を備え、シワもつきにくいため、普段使いからトラベルシーンまで幅広く活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.34	0		""				"コアスパン ショーツ Men's ( 品番 #2105223 )"
"コアスパン ショーツ Women's ( 品番 #2105224 )"	0	""	1	"日本"	"日本"	1	386.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"肌になじむ風合いの、ベーシックなデザインのショーツです。ストレッチ性を備え、シワもつきにくいため、普段使いからトラベルシーンまで幅広く活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.259	0		""				"コアスパン ショーツ Women's ( 品番 #2105224 )"
"ストレッチデニム 12oz ( 品番 #2105225 )"	0	""	1	"日本"	"日本"	1	476.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ストレッチ性を備えた軽やかなはき心地のジーンズです。日常使いや旅行など、さまざまな場面で活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.632	0		""				"ストレッチデニム 12oz ( 品番 #2105225 )"
"コアスパン トラベルパンツ Women's ( 品番 #2105226 )"	0	""	1	"日本"	"日本"	1	431.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"はき始めから肌になじむ、ベーシックなデザインのパンツです。シワがつきにくく、速乾性にも優れるため、トラベルシーンに最適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.408	0		""				"コアスパン トラベルパンツ Women's ( 品番 #2105226 )"
