﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"ストレッチO.D.ショーツMen's ( 品番 #1105473 )"	0	""	1	"日本"	"日本"	1	377.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ストレッチ性を備え、抜群の運動性を持つショーツです。軽量でハリ・コシがあり、撥水性を備える薄手の素材を使用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.186	0		""				"ストレッチO.D.ショーツMen's ( 品番 #1105473 )"
"ストレッチO.D.ショーツ Women's ( 品番 #1105474 )"	0	""	1	"日本"	"日本"	1	359.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ストレッチ性を備え、抜群の運動性を持つショーツです。軽量でハリ・コシがあり、撥水性を備える薄手の素材を使用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.156	0		""				"ストレッチO.D.ショーツ Women's ( 品番 #1105474 )"
"ストレッチ O.D.ショーツ Kid's ( 品番 #1105483 )"	0	""	1	"日本"	"日本"	1	288.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量でハリ・コシがある薄手の素材を採用したショーツです。ストレッチ性も備えるため、大変動きやすく、生地表面に施した撥水加工により小雨程度なら難なくはじき、汚れも付着しにくくなっています。バックル付きテープでウエストのフィット感を調節できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.135	0		""				"ストレッチ O.D.ショーツ Kid's ( 品番 #1105483 )"
"ストレッチ O.D.ショーツ Kid's ( 品番 #1105484 )"	0	""	1	"日本"	"日本"	1	252.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量でハリ・コシがある薄手の素材を採用したショーツです。ストレッチ性も備えるため、大変動きやすく、生地表面に施した撥水加工により小雨程度なら難なくはじき、汚れも付着しにくくなっています。バックル付きテープでウエストのフィット感を調節できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.105	0		""				"ストレッチ O.D.ショーツ Kid's ( 品番 #1105484 )"
"ストレッチ カーゴショーツ Women's ( 品番 #1105385 )"	0	""	1	"日本"	"日本"	1	564.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"使い勝手のよいカーゴポケットを備え、伸縮性と通気性に優れた薄手のショーツです。生地はコットンのようなハリがあり、サラッとした肌離れのよいはき心地です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.21	0		""				"ストレッチ カーゴショーツ Women's ( 品番 #1105385 )"
"H2.OD ショーツ Men's ( 品番 #1105321 )"	0	""	1	"日本"	"日本"	1	385.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"背面には空気抜きのため、ポケット内袋には水はけを良くするためにメッシュ地を採用したウォータースポーツに最適なショーツ。世界最高レベルの撥水加工を施しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.165	0		""				"H2.OD ショーツ Men's ( 品番 #1105321 )"
"H2.OD ショーツ Women's ( 品番 #1105322 )"	0	""	1	"日本"	"日本"	1	359.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"背面には空気抜きのため、ポケット内袋には水はけを良くするためにメッシュ地を採用したウォータースポーツに最適なショーツ。世界最高レベルの撥水加工を施しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.145	0		""				"H2.OD ショーツ Women's ( 品番 #1105322 )"
"ブリーズスパン ショーツ Men's ( 品番 #1105376 )"	0	""	1	"日本"	"日本"	1	479.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"通気・撥水・速乾性に優れ、風が通る爽やかな素材の快適なショーツです。超耐久撥水加工を施しているので、小雨なら難なく弾き、汚れがつきにくくメンテナンスも容易です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.23	0		""				"ブリーズスパン ショーツ Men's ( 品番 #1105376 )"
"トレールショーツ Men's ( 品番 #1105417 )"	0	""	1	"日本"	"日本"	1	419.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群の通気性とストレッチ性を持たせた軽やかなショーツです。特殊な織りによって微細な孔を持たせた生地を採用しているため大変涼しく、タイツと組み合わせても蒸れにくくなっています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.134	0		""				"トレールショーツ Men's ( 品番 #1105417 )"
