﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"ジオラインL.W.Tシャツ Men's ( 品番 #1107484 )"	0	""	1	"日本"	"日本"	1	240.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量で速乾性に優れているので、寒い季節の激しく汗をかく運動や、夏場のウォータースポーツなど、オールシーズン活躍する汎用性の高いモデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.1	0		""				"ジオラインL.W.Tシャツ Men's ( 品番 #1107484 )"
"ジオラインL.W.UネックTシャツ Women's ( 品番 #1107485 )"	0	""	1	"日本"	"日本"	1	223.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量で速乾性に優れているので、寒い季節の激しく汗をかく運動や、夏場のウォータースポーツなど、オールシーズン活躍する汎用性の高いモデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.075	0		""				"ジオラインL.W.UネックTシャツ Women's ( 品番 #1107485 )"
"ジオラインL.W.ラウンドネックシャツ Men's ( 品番 #1107486 )"	0	""	1	"日本"	"日本"	1	291.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量で速乾性に優れているので、寒い季節の激しく汗をかく運動や、夏場のウォータースポーツなど、オールシーズン活躍する汎用性の高いモデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.125	0		""				"ジオラインL.W.ラウンドネックシャツ Men's ( 品番 #1107486 )"
"ジオラインL.W.ラウンドネックシャツ Women's ( 品番 #1107487 )"	0	""	1	"日本"	"日本"	1	274.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量で速乾性に優れているので、寒い季節の激しく汗をかく運動や、夏場のウォータースポーツなど、オールシーズン活躍する汎用性の高いモデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.095	0		""				"ジオラインL.W.ラウンドネックシャツ Women's ( 品番 #1107487 )"
"ジオラインL.W.ハイネックシャツ Men's ( 品番 #1107488 )"	0	""	1	"日本"	"日本"	1	325.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量で速乾性に優れているので、寒い季節の激しく汗をかく運動や、夏場のウォータースポーツなど、オールシーズン活躍する汎用性の高いモデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.135	0		""				"ジオラインL.W.ハイネックシャツ Men's ( 品番 #1107488 )"
"ジオラインL.W.VネックTシャツ Men's ( 品番 #1107489 )"	0	""	1	"日本"	"日本"	1	240.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量で速乾性に優れているので、寒い季節の激しく汗をかく運動や、夏場のウォータースポーツなど、オールシーズン活躍する汎用性の高いモデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.1	0		""				"ジオラインL.W.VネックTシャツ Men's ( 品番 #1107489 )"
"ジオラインL.W.Uネックシャツ Women's ( 品番 #1107490 )"	0	""	1	"日本"	"日本"	1	274.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量で速乾性に優れているので、寒い季節の激しく汗をかく運動や、夏場のウォータースポーツなど、オールシーズン活躍する汎用性の高いモデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.095	0		""				"ジオラインL.W.Uネックシャツ Women's ( 品番 #1107490 )"
"ジオラインL.W.タンクトップ Women's ( 品番 #1107491 )"	0	""	1	"日本"	"日本"	1	223.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量で速乾性に優れているので、寒い季節の激しく汗をかく運動や、夏場のウォータースポーツなど、オールシーズン活躍する汎用性の高いモデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.06	0		""				"ジオラインL.W.タンクトップ Women's ( 品番 #1107491 )"
"ジオラインL.W.キャミトップ Women's ( 品番 #1107492 )"	0	""	1	"日本"	"日本"	1	206.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量で速乾性に優れているので、寒い季節の激しく汗をかく運動や、夏場のウォータースポーツなど、オールシーズン活躍する汎用性の高いモデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.05	0		""				"ジオラインL.W.キャミトップ Women's ( 品番 #1107492 )"
