﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"ジオライン M.W.ラウンドネックシャツ Men's ( 品番 #1107525 )"	0	""	1	"日本"	"日本"	1	394.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"生地内に多くの空気を蓄えるため、高い保温力を持ち、素早く汗を吸水拡散して、素肌を常に乾いた状態に保ちます。ツアースキーや登山など、行動と休憩を繰り返すアクティビティに最適。一年を通して活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.144	0		""				"ジオライン M.W.ラウンドネックシャツ Men's ( 品番 #1107525 )"
"ジオライン M.W.ラウンドネックシャツ Women's ( 品番 #1107526 )"	0	""	1	"日本"	"日本"	1	377.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"生地内に多くの空気を蓄えるため、高い保温力を持ち、素早く汗を吸水拡散して、素肌を常に乾いた状態に保ちます。ツアースキーや登山など、行動と休憩を繰り返すアクティビティに最適。一年を通して活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.117	0		""				"ジオライン M.W.ラウンドネックシャツ Women's ( 品番 #1107526 )"
"ジオライン M.W.ハイネックシャツ Men's ( 品番 #1107527 )"	0	""	1	"日本"	"日本"	1	453.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"生地内に多くの空気を蓄えるため、高い保温力を持ち、素早く汗を吸水拡散して、素肌を常に乾いた状態に保ちます。ツアースキーや登山など、行動と休憩を繰り返すアクティビティに最適。一年を通して活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.158	0		""				"ジオライン M.W.ハイネックシャツ Men's ( 品番 #1107527 )"
"ジオライン M.W.ハイネックシャツ Women's ( 品番 #1107528 )"	0	""	1	"日本"	"日本"	1	436.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"生地内に多くの空気を蓄えるため、高い保温力を持ち、素早く汗を吸水拡散して、素肌を常に乾いた状態に保ちます。ツアースキーや登山など、行動と休憩を繰り返すアクティビティに最適。一年を通して活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.129	0		""				"ジオライン M.W.ハイネックシャツ Women's ( 品番 #1107528 )"
"ジオライン M.W.タイツ Men's ( 品番 #1107529 )"	0	""	1	"日本"	"日本"	1	385.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"生地内に多くの空気を蓄えるため、高い保温力を持ち、素早く汗を吸水拡散して、素肌を常に乾いた状態に保つタイツです。ツアースキーや登山など、行動と休憩を繰り返すアクティビティに最適。一年を通して活躍します。前開き付き。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.13	0		""				"ジオライン M.W.タイツ Men's ( 品番 #1107529 )"
"ジオライン M.W.タイツ Women's ( 品番 #1107530 )"	0	""	1	"日本"	"日本"	1	368.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"生地内に多くの空気を蓄えるため、高い保温力を持ち、素早く汗を吸水拡散して、素肌を常に乾いた状態に保つタイツです。ツアースキーや登山など、行動と休憩を繰り返すアクティビティに最適。一年を通して活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.106	0		""				"ジオライン M.W.タイツ Women's ( 品番 #1107530 )"
"ジオライン M.W.ニーロングタイツ Men's ( 品番 #1107531 )"	0	""	1	"日本"	"日本"	1	300.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"生地内に多くの空気を蓄えるため、高い保温力を持ち、素早く汗を吸水拡散して、素肌を常に乾いた状態に保つニーロングタイツです。ツアースキーや登山など、行動と休憩を繰り返すアクティビティに最適。一年を通して活躍します。前開き付き。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.112	0		""				"ジオライン M.W.ニーロングタイツ Men's ( 品番 #1107531 )"
"ジオライン M.W.ラウンドネックシャツ Kid's 135-150 ( 品番 #1107532 )"	0	""	1	"日本"	"日本"	1	274.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"優れた保温力を備えながら、かいた汗を素早く吸水拡散し、肌を常にドライな状態に保つ高機能素材ジオラインを採用したアンダーウエアです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.085	0		""				"ジオライン M.W.ラウンドネックシャツ Kid's 135-150 ( 品番 #1107532 )"
"ジオライン M.W.ラウンドネックシャツ Kid's 105-120 ( 品番 #1107533 )"	0	""	1	"日本"	"日本"	1	231.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"優れた保温力を備えながら、かいた汗を素早く吸水拡散し、肌を常にドライな状態に保つ高機能素材ジオラインを採用したアンダーウエアです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.059	0		""				"ジオライン M.W.ラウンドネックシャツ Kid's 105-120 ( 品番 #1107533 )"
