﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"スペリオルシルクL.W. Tシャツ Men's ( 品番 #1107250 )"	0	""	1	"日本"	"日本"	1	496.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"素肌に優しい肌ざわりを持つ高級素材スペリオルシルクのTシャツです。夏は涼しく、冬暖かいので一年中快適に着られます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.077	0		""				"スペリオルシルクL.W. Tシャツ Men's ( 品番 #1107250 )"
"スペリオルシルクL.W. ラウンドネックシャツ Men's ( 品番 #1107251 )"	0	""	1	"日本"	"日本"	1	530.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"素肌に優しい肌ざわりを持つ高級素材スペリオルシルクの長袖シャツです。夏は涼しく、冬暖かいので一年中快適に着られます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.096	0		""				"スペリオルシルクL.W. ラウンドネックシャツ Men's ( 品番 #1107251 )"
"スペリオルシルクL.W. ラウンドネックシャツ Women's ( 品番 #1107252 )"	0	""	1	"日本"	"日本"	1	530.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"素肌に優しい肌ざわりを持つ高級素材スペリオルシルクの長袖シャツです。夏は涼しく、冬暖かいので一年中快適に着られます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.086	0		""				"スペリオルシルクL.W. ラウンドネックシャツ Women's ( 品番 #1107252 )"
"スペリオルシルクL.W. UネックTシャツ Men's ( 品番 #1107253 )"	0	""	1	"日本"	"日本"	1	513.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"素肌に優しい肌ざわりを持つ高級素材スペリオルシルクのUネックＴシャツです。夏は涼しく、冬暖かいので一年中快適に着られます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.077	0		""				"スペリオルシルクL.W. UネックTシャツ Men's ( 品番 #1107253 )"
"スペリオルシルクL.W. タンクトップ Women's ( 品番 #1107254 )"	0	""	1	"日本"	"日本"	1	419.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"素肌に優しい肌ざわりを持つ高級素材スペリオルシルクのタンクトップです。夏は涼しく、冬暖かいので一年中快適に着られます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.059	0		""				"スペリオルシルクL.W. タンクトップ Women's ( 品番 #1107254 )"
"スペリオルシルクL.W. トランクス Men's ( 品番 #1107259 )"	0	""	1	"日本"	"日本"	1	325.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"シルキータッチと表現される抜群の肌ざわりを持ちます。夏は涼しく、冬は暖かいので一年を通して快適に着られます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.049	0		""				"スペリオルシルクL.W. トランクス Men's ( 品番 #1107259 )"
"スペリオルシルクL.W. ブリーフ Men's ( 品番 #1107260 )"	0	""	1	"日本"	"日本"	1	240.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"シルキータッチと表現される抜群の肌ざわりを持ちます。夏は涼しく、冬は暖かいので一年を通して快適に着られます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.033	0		""				"スペリオルシルクL.W. ブリーフ Men's ( 品番 #1107260 )"
"スペリオルシルクL.W. ショーツ Women's ( 品番 #1107261 )"	0	""	1	"日本"	"日本"	1	223.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"シルキータッチと表現される抜群の肌ざわりを持ちます。夏は涼しく、冬は暖かいので一年を通して快適に着られます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.027	0		""				"スペリオルシルクL.W. ショーツ Women's ( 品番 #1107261 )"
"スペリオルシルクL.W. タイツ Men's ( 品番 #1107255 )"	0	""	1	"日本"	"日本"	1	530.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"素肌に優しい肌ざわりを持つ高級素材スペリオルシルクのタイツです。夏は涼しく、冬暖かいので一年中快適に着られます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.105	0		""				"スペリオルシルクL.W. タイツ Men's ( 品番 #1107255 )"
