﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"サポーテック ライト ニーロングタイツ Men's ( 品番 #1107143 )"	0	""	1	"日本"	"日本"	1	467.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"異なる特性を持つ2種類の生地を使い分けることで、フィールドでの行動をサポートする快適性と、強度を備えた薄手の膝下丈の高機能タイツです。高いストレッチ性とUVカット効果を持ち、暑い季節のトレッキングやランニングに最適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.101	0		""				"サポーテック ライト ニーロングタイツ Men's ( 品番 #1107143 )"
"サポーテック ライト ニーロングタイツ Women's ( 品番 #1107144 )"	0	""	1	"日本"	"日本"	1	422.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"異なる特性を持つ2種類の生地を使い分けることで、フィールドでの行動をサポートする快適性と、強度を備えた薄手の膝下丈の高機能タイツです。高いストレッチ性とUVカット効果を持ち、暑い季節のトレッキングやランニングに最適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.099	0		""				"サポーテック ライト ニーロングタイツ Women's ( 品番 #1107144 )"
"メリノウール サポーテック トレッキング ソックス ( 品番 #1108898 )"	0	""	1	"日本"	"日本"	1	189.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"土踏まず（アーチ）を下から支える独自の構造と、優れたクッション性により、歩行時の足の負担を和らげる高機能・快適ソックスです。滑らかな肌触りと適度な保温性を備えた、高品質メリノウールを採用。天然素材ならではの免疫機能を備え、抗菌防臭効果に優れます。厚手の総パイル仕様です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.095	0		""				"メリノウール サポーテック トレッキング ソックス ( 品番 #1108898 )"
"メリノウール サポーテック トレッキング ショートソックス ( 品番 #1108899 )"	0	""	1	"日本"	"日本"	1	171.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"土踏まず（アーチ）を下から支える独自の構造と、優れたクッション性により、歩行時の足の負担を和らげる高機能・快適ソックスです。滑らかな肌触りと適度な保温性を備えた、高品質メリノウールを採用。天然素材ならではの免疫機能を備え、抗菌防臭効果に優れます。厚手の総パイル仕様です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.065	0		""				"メリノウール サポーテック トレッキング ショートソックス ( 品番 #1108899 )"
"WIC.サポーテック トレッキング ソックス ( 品番 #1108900 )"	0	""	1	"日本"	"日本"	1	162.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"土踏まず（アーチ）を下から支える独自の構造と、優れたクッション性により、歩行時の足の負担を和らげる高機能・快適ソックスです。抜群の吸水拡散性を誇るモンベル独自の快適素材を採用。常にドライな状態をキープし、優れた制菌防臭効果も備えるため、長時間の着用時にも快適です。厚手の総パイル仕様です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.104	0		""				"WIC.サポーテック トレッキング ソックス ( 品番 #1108900 )"
"WIC.サポーテック トレッキング ショートソックス ( 品番 #1108901 )"	0	""	1	"日本"	"日本"	1	144.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"土踏まず（アーチ）を下から支える独自の構造と、優れたクッション性により、歩行時の足の負担を和らげる高機能・快適ソックスです。抜群の吸水拡散性を誇るモンベル独自の快適素材を採用。常にドライな状態をキープし、優れた制菌防臭効果も備えるため、長時間の着用時にも快適です。厚手の総パイル仕様です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.071	0		""				"WIC.サポーテック トレッキング ショートソックス ( 品番 #1108901 )"
"サポーテックライト タイツ Men's ( 品番 #1107134 )"	0	""	1	"日本"	"日本"	1	505.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"異なる特性を持つ2種類の生地を使い分けることで、フィールドでの行動をサポートする快適性と、強度を備えた薄手の高機能タイツです。暑い季節のトレッキングやランニングに最適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.116	0		""				"サポーテックライト タイツ Men's ( 品番 #1107134 )"
"サポーテックライト タイツ Women's ( 品番 #1107135 )"	0	""	1	"日本"	"日本"	1	462.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"異なる特性を持つ2種類の生地を使い分けることで、フィールドでの行動をサポートする快適性と、強度を備えた薄手の高機能タイツです。暑い季節のトレッキングやランニングに最適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.099	0		""				"サポーテックライト タイツ Women's ( 品番 #1107135 )"
"サポーテック ニーロングタイツ Women's ( 品番 #1107114 )"	0	""	1	"日本"	"日本"	1	547.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"登山やトレッキングを快適に行うために開発した膝下丈のタイツ。全体を丸編みにしたシームレス設計で、脚全体に優しくフィット。運動時の足運びをサポートします。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"サポーテック ニーロングタイツ Women's ( 品番 #1107114 )"
"サポーテック タイツ Men's ウィズジップ ( 品番 #1107117 )"	0	""	1	"日本"	"日本"	1	752.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"登山やトレッキングをより快適に行うために開発したサポートタイツです。脚全体に優しくフィットし、運動時の足運びをサポートします。「コンシールジッパー」の前開き付き。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.175	0		""				"サポーテック タイツ Men's ウィズジップ ( 品番 #1107117 )"
"サポーテック ニーロングタイツ Men's ウィズジップ ( 品番 #1107118 )"	0	""	1	"日本"	"日本"	1	633.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"登山やトレッキングをより快適に行うために開発したサポートタイツです。脚全体に優しくフィットし、運動時の足運びをサポートします。「コンシールジッパー」の前開き付き。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.11	0		""				"サポーテック ニーロングタイツ Men's ウィズジップ ( 品番 #1107118 )"
"サポーテック 5トゥーズアンダーハイソックス ( 品番 #1107109 )"	0	""	1	"日本"	"日本"	1	180.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"最適な圧力で脚をサポートするアンダーハイソックス。長時間着用しても自然なフィット感が得られ、通気性・吸水速乾性・制菌効果にも優れます。五本指タイプ。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.04	0		""				"サポーテック 5トゥーズアンダーハイソックス ( 品番 #1107109 )"
"サポーテック アンダーハイソックス ( 品番 #1107110 )"	0	""	1	"日本"	"日本"	1	154.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"最適な圧力で脚をサポートするアンダーハイソックス。長時間着用しても自然なフィット感が得られ、通気性・吸水速乾性・制菌効果にも優れます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.038	0		""				"サポーテック アンダーハイソックス ( 品番 #1107110 )"
"WIC.サポーテック ウォーキング ショートソックス ( 品番 #1108806 )"	0	""	1	"日本"	"日本"	1	133.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"土踏まず（アーチ）を下から支える独自の構造と、優れたクッション性により、歩行時の足の負担を和らげる高機能・快適ソックスです。抜群の吸水拡散性を誇るモンベル独自の快適素材を採用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.063	0		""				"WIC.サポーテック ウォーキング ショートソックス ( 品番 #1108806 )"
