﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"シャミース ベスト Men's ( 品番 #1104870 )"	0	""	1	"日本"	"日本"	1	368.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"大変軽量ながら高い保温性を持つ薄手のベストです。コンパクトに携行でき、手軽に保温性が得られます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.149	0		""				"シャミース ベスト Men's ( 品番 #1104870 )"
"シャミース ベスト Women's ( 品番 #1104873 )"	0	""	1	"日本"	"日本"	1	359.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"大変軽量ながら高い保温性を持つ薄手のベストです。コンパクトに携行でき、手軽に保温性が得られます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.16	0		""				"シャミース ベスト Women's ( 品番 #1104873 )"
"クリマプラス100 ベスト Men's ( 品番 #1106442 )"	0	""	1	"日本"	"日本"	1	308.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"適度な厚みで柔らかく、優れた伸縮性を併せ持つため秋冬を通して多目的に活躍するベストです。コンパクトに持ち運びでき、たいへん便利です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.16	0		""				"クリマプラス100 ベスト Men's ( 品番 #1106442 )"
"クリマプラス100 ベスト Women's ( 品番 #1106443 )"	0	""	1	"日本"	"日本"	1	300.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"適度な厚みで柔らかく、優れた伸縮性を併せ持つため秋冬を通して多目的に活躍するベストです。コンパクトに持ち運びでき、たいへん便利です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.13	0		""				"クリマプラス100 ベスト Women's ( 品番 #1106443 )"
"クリマプラス200 ベスト Men's ( 品番 #1106459 )"	0	""	1	"日本"	"日本"	1	496.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"秋から春にかけて、手軽に温度調節できるレイヤリングアイテムとして活躍するベストです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.32	0		""				"クリマプラス200 ベスト Men's ( 品番 #1106459 )"
"クリマプラス 100 ジップベスト Men's ( 品番 #1106479 )"	0	""	1	"日本"	"日本"	1	419.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"手軽に保温性が得られるフロントオープン仕様のベストです。適度に体にフィットするシルエットを採用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.23	0		""				"クリマプラス 100 ジップベスト Men's ( 品番 #1106479 )"
"クリマプラス 100 ジップベスト Women's ( 品番 #1106480 )"	0	""	1	"日本"	"日本"	1	402.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"手軽に保温性が得られるフロントオープン仕様のベストです。適度に体にフィットするシルエットを採用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.192	0		""				"クリマプラス 100 ジップベスト Women's ( 品番 #1106480 )"
"クリマエア ベスト Men's ( 品番 #1106487 )"	0	""	1	"日本"	"日本"	1	582.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量でありながら、生地表面の長い毛足が空気をたっぷりと蓄えるため大変暖かく、優れたレイヤリングアイテムとして活躍するベストです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.325	0		""				"クリマエア ベスト Men's ( 品番 #1106487 )"
"クリマエア ベスト Women's ( 品番 #1106488 )"	0	""	1	"日本"	"日本"	1	556.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量でありながら、生地表面の長い毛足が空気をたっぷりと蓄えるため大変暖かく、優れたレイヤリングアイテムとして活躍するベストです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.265	0		""				"クリマエア ベスト Women's ( 品番 #1106488 )"
"クリマプラス200 ベスト Women's ( 品番 #1106525 )"	0	""	1	"日本"	"日本"	1	479.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"秋から春にかけて、手軽に温度調節できるレイヤリングアイテムとして活躍するベストです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.277	0		""				"クリマプラス200 ベスト Women's ( 品番 #1106525 )"
