﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"WIC.クール キャップ ( 品番 #1108914 )"	0	""	1	"日本"	"日本"	1	225.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"優れた通気性と吸水速乾性を備えた、爽快な着用感のキャップです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"WIC.クール キャップ ( 品番 #1108914 )"
"WIC.クール ダックキャップ ( 品番 #1108915 )"	0	""	1	"日本"	"日本"	1	207.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"優れた通気性と吸水速乾性を備えた、爽快な着用感のキャップです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"WIC.クール ダックキャップ ( 品番 #1108915 )"
"WIC.クール デタッチャブル サンブロックバイザー ( 品番 #1108916 )"	0	""	1	"日本"	"日本"	1	332.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"大きなツバを持つサンバイザーと、付属の日除け布を用いて4パターンのかぶり方ができるアイテムです。遮光性に優れながらも風通しがよく、炎天下でも涼しく着用できます。消臭機能を備えているため、汗のにおいも気になりません。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"WIC.クール デタッチャブル サンブロックバイザー ( 品番 #1108916 )"
"フラッシュライト WIC.クールキャップ Kid's ( 品番 #1108925 )"	0	""	1	"日本"	"日本"	1	440.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"太陽光で充電できるLEDライトがツバ部分に付いたキャップです。キャンプや林間学校などに便利。優れた通気性と速乾性、消臭機能も備え、真夏でも快適に着用できます。ツバ芯を取り外して本体を洗濯することも可能です。 ※バッテリー部分は水に濡らさないでください。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.103	0		""				"フラッシュライト WIC.クールキャップ Kid's ( 品番 #1108925 )"
"リバーシブル バードビルキャップ Kid's ( 品番 #1108927 )"	0	""	1	"日本"	"日本"	1	144.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"フィット感が高いリバーシブル仕様のキャップです。コットンのような柔らかさと肌触りを持ちながら優れた撥水性を備え、水に濡れてもすぐに乾きます。後頭部のコードで簡単にサイズ調節が行えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"リバーシブル バードビルキャップ Kid's ( 品番 #1108927 )"
"フィールドキャップ Kid's ( 品番 #1108929 )"	0	""	1	"日本"	"日本"	1	162.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"フィット感が高いリバーシブル仕様のキャップです。コットンのような柔らかさと肌触りを持ちながら優れた撥水性を備え、水に濡れてもすぐに乾きます。後頭部のコードで簡単にサイズ調節が行えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"フィールドキャップ Kid's ( 品番 #1108929 )"
"O.D.キャップ Kid's ( 品番 #1108932 )"	0	""	1	"日本"	"日本"	1	153.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"コットンのような柔らかさと肌触りを持ち、撥水性・速乾性に優れる、軽やかなかぶり心地のキャップです。後頭部のバックル付きテープで簡単にサイズ調節が行えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"O.D.キャップ Kid's ( 品番 #1108932 )"
"ストレッチO.D.キャップ ( 品番 #1108817 )"	0	""	1	"日本"	"日本"	1	189.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"コットンのような風合いで、高い伸縮性を備えた素材を採用したキャップです。撥水加工を施しているため水や汚れをはじき、メンテナンスも容易です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"ストレッチO.D.キャップ ( 品番 #1108817 )"
"ステンレスメッシュ フィールドキャップ ( 品番 #1108820 )"	0	""	1	"日本"	"日本"	1	171.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"強烈な日差しも遮る、遮光性・遮熱性に優れたキャップです。ベーシックなデザインなので普段使いとしてもかぶりやすく、軽量・コンパクトで携行にも便利です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"ステンレスメッシュ フィールドキャップ ( 品番 #1108820 )"
