﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"WIC.ライト リバーシブルハット Kid's ( 品番 #1108924 )"	0	""	1	"日本"	"日本"	1	216.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"コーディネートに合わせてカラフルなチェック柄と単色パターンを切り替えられる、リバーシブル仕様のハットです。汗に濡れてもすぐに乾く生地を使用しているため、真夏でも快適なかぶり心地。紫外線もしっかりと遮ります。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"WIC.ライト リバーシブルハット Kid's ( 品番 #1108924 )"
"サハラハット Kid's ( 品番 #1108928 )"	0	""	1	"日本"	"日本"	1	216.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"首筋への強い日差しを遮る日除けを設けた、夏のアウトドアに最適なハットです。肌触りがよく、速乾性にも優れる生地を使用。側面には吸水速乾性と通気性に優れるワッフルメッシュを使用し、蒸れにくくなっています。フィット感は後頭部のコードで調節できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"サハラハット Kid's ( 品番 #1108928 )"
"ワッフルハット Baby's ( 品番 #1108930 )"	0	""	1	"日本"	"日本"	1	198.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"遮光性と通気性を兼ね備えたワッフルメッシュ地を使用した柔らかなハットです。赤ちゃんを強い日差しから守り、ハット内の熱を効果的に逃がして快適です。後頭部のコードでフィット感の調節が行えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"ワッフルハット Baby's ( 品番 #1108930 )"
"O.D.ハット Kid's ( 品番 #1108931 )"	0	""	1	"日本"	"日本"	1	180.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"コットンのような柔らかさと肌触りを持ち、撥水性・速乾性に優れる、軽やかなかぶり心地のハットです。頭囲のゴムコードで簡単にサイズ調節が行えます。あごひもを付けられるループ付き。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"O.D.ハット Kid's ( 品番 #1108931 )"
"WIC.ライト フィールド ハット ( 品番 #1132109 )"	0	""	1	"日本"	"日本"	1	279.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"農作業やガーデニングに最適なカラフルなハットです。日差しをさえぎる大きなひさしには、樹脂製の芯を入れているので、形を自由に変えることができます。汗をかいてもすぐに乾き、光触媒効果による消臭機能により、においも気になりません。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"WIC.ライト フィールド ハット ( 品番 #1132109 )"
"フィールド キャップ ( 品番 #1132110 )"	0	""	1	"日本"	"日本"	1	306.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"顔から首筋にかけてすっぽりと覆える、スクリーンを備えた日除けキャップです。スクリーンは後頭部に設けたコードでフィット感を調節することができ、不要なときには取り外すことも可能。帽体サイドにはメッシュ地を採用して通気性を確保しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"フィールド キャップ ( 品番 #1132110 )"
"フィールド ハット ( 品番 #1132111 )"	0	""	1	"日本"	"日本"	1	359.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"大きなひさしと、顔から首筋にかけてすっぽりと覆えるスクリーンを備えた日除けハットです。スクリーンは後頭部に設けたコードでフィット感を調節することができ、不要なときには取り外すことも可能。ひさしは状況に応じて形状を変えることができるため、狭いハウス内での作業時にも邪魔になりません。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"フィールド ハット ( 品番 #1132111 )"
"リバーシブルハット ( 品番 #1108745 )"	0	""	1	"日本"	"日本"	1	189.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"裏表で2種類の異なる表情を楽しめるリバーシブル仕様のハットです。表面はロゴのみを設けた単色使いのシンプルなデザイン。裏面は鮮やかなツートーンカラーを採用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"リバーシブルハット ( 品番 #1108745 )"
"サウスリム ハット ( 品番 #1108300 )"	0	""	1	"日本"	"日本"	1	223.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"丈夫で撥水性や防汚性に優れた素材を使用。ひさしには柔らかい芯を入れ、フィット感も良好です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"サウスリム ハット ( 品番 #1108300 )"
