﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"ジオラインL.W.インナーグローブ ( 品番 #1107503 )"	0	""	1	"日本"	"日本"	1	171.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"保温性と伸縮性に優れた薄手のグローブです。アウターグローブと併用すればスキーや釣りなど幅広い用途で活用できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.02	0		""				"ジオラインL.W.インナーグローブ ( 品番 #1107503 )"
"シャミース インナーグローブ Men's ( 品番 #1108318 )"	0	""	1	"日本"	"日本"	1	154.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"柔らかく、速乾性にも優れフィット感のよい薄手のグローブ。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.03	0		""				"シャミース インナーグローブ Men's ( 品番 #1108318 )"
"シャミース インナーグローブ Women's ( 品番 #1108586 )"	0	""	1	"日本"	"日本"	1	154.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"柔らかく、速乾性にも優れフィット感のよい薄手のグローブ。手首部分にゴムを用いず、自然なフィット感に仕上げています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.022	0		""				"シャミース インナーグローブ Women's ( 品番 #1108586 )"
"ジオライン3D サーマル インナーグローブ ( 品番 #1108733 )"	0	""	1	"日本"	"日本"	1	214.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"吸水速乾性に優れる薄手のグローブです。繊維の密度が高いため程よい防風性を持ち、生地の裏面を起毛させることで保温性を高めています。フィット感も高く、インナーグローブとしてはもちろん、寒い季節のトレッキングやランニングなど、発汗量の多い行動時に単体で使用する際にも快適に着用できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.03	0		""				"ジオライン3D サーマル インナーグローブ ( 品番 #1108733 )"
"メリノウール インナーグローブ ( 品番 #1108737 )"	0	""	1	"日本"	"日本"	1	103.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"滑らかな肌触りのメリノウールを使用した、薄手で暖かいインナー用途のグローブです。伸縮性に優れ、縫い目のない丸編み仕立てにすることで快適な装着感を実現しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.03	0		""				"メリノウール インナーグローブ ( 品番 #1108737 )"
"メリノウール インナーグローブ タッチ ( 品番 #1108869 )"	0	""	1	"日本"	"日本"	1	137.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"滑らかな肌触りのメリノウールを使用した、暖かいインナー用途のグローブです。グローブを装着したままでもスマートフォンなどのタッチパネル操作を行なうことが可能です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.034	0		""				"メリノウール インナーグローブ タッチ ( 品番 #1108869 )"
"クリマプラス100 プリント インナーグローブ ( 品番 #1108871 )"	0	""	1	"日本"	"日本"	1	189.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"厚みを抑えることで抜群のストレッチ性を持たせたフリース素材に鮮やかな柄をプリントしたインナーグローブです。トレッキング時のインナー用途としてはもちろんのこと、旅行や日常での単体使いにもお薦めです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.04	0		""				"クリマプラス100 プリント インナーグローブ ( 品番 #1108871 )"
"クリマプラス100 プリント ミトン ( 品番 #1108872 )"	0	""	1	"日本"	"日本"	1	189.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"厚みを抑えることで抜群のストレッチ性を持たせたフリース素材に鮮やかな柄をプリントしたミトンです。高い保温性を備えながらも、指先だけを出すことができるため、グローブを外さずに細かな作業も行えるようになっています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.037	0		""				"クリマプラス100 プリント ミトン ( 品番 #1108872 )"
"トレールアクショングローブ Men's ( 品番 #1108877 )"	0	""	1	"日本"	"日本"	1	214.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ストレッチ性に優れるしなやかな生地を採用した中厚手のグローブです。裏面を起毛させているため適度な保温性と吸水拡散性も確保しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.037	0		""				"トレールアクショングローブ Men's ( 品番 #1108877 )"
"トレールアクショングローブ Women's ( 品番 #1108878 )"	0	""	1	"日本"	"日本"	1	214.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ストレッチ性に優れるしなやかな生地を採用した中厚手のグローブです。裏面を起毛させているため適度な保温性と吸水拡散性も確保しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.031	0		""				"トレールアクショングローブ Women's ( 品番 #1108878 )"
"クリマプラス200 インナーグローブ ( 品番 #1108879 )"	0	""	1	"日本"	"日本"	1	189.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ストレッチ性に優れる中厚手のフリース素材を採用した暖かなインナーグローブです。フィット感が高く、単体での使用はもちろんのこと、オーバーグローブとの併用にも適しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.047	0		""				"クリマプラス200 インナーグローブ ( 品番 #1108879 )"
