﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"サイクール フィンガーレスグローブ ( 品番 #1130374 )"	0	""	1	"日本"	"日本"	1	216.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"甲側に吸水拡散性・通気性・消臭機能を備えた素材を使用することで真夏でも快適な着け心地をキープするアクティブなグローブです。手首の屈曲を妨げないよう、丈を短めに設定。手のひらだけでなく、親指と人差し指の間にも緩衝フォームを封入しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.024	0		""				"サイクール フィンガーレスグローブ ( 品番 #1130374 )"
"WIC.サイクル フィンガーレスグローブ ( 品番 #1130375 )"	0	""	1	"日本"	"日本"	1	225.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"吸水速乾性に優れ、光触媒効果による消臭機能も備えた素材を使用したグローブです。手首の屈曲を妨げないよう、丈を短めに設定。手のひらだけでなく、親指と人差し指の間にも緩衝フォームを封入しています。オリジナルのプリントを施しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.024	0		""				"WIC.サイクル フィンガーレスグローブ ( 品番 #1130375 )"
"ステンレスメッシュ サイクルフィンガーレスグローブ ( 品番 #1130376 )"	0	""	1	"日本"	"日本"	1	243.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"薄いメッシュ地にステンレスの蒸着加工を施すことで、抜群の遮光性と遮熱性を持たせた、夏場に最適なフィンガーレスグローブです。甲側と指のサイドは部分的にストレッチ性の高い素材を採用。手のひらだけでなく、親指と人差し指の間にも緩衝フォームを封入。ハンドルバーやブレーキレバーからの衝撃を効果的に和らげます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.029	0		""				"ステンレスメッシュ サイクルフィンガーレスグローブ ( 品番 #1130376 )"
"ステンレスメッシュ サイクルグローブ ( 品番 #1130377 )"	0	""	1	"日本"	"日本"	1	279.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"薄いメッシュ地にステンレスの蒸着加工を施すことで、抜群の遮光性と遮熱性を持たせた、夏場に最適なグローブです。甲側と指のサイドは部分的にストレッチ性の高い素材を採用。手のひらだけでなく、親指と人差し指の間にも緩衝フォームを封入。ハンドルバーやブレーキレバーからの衝撃を効果的に和らげます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.034	0		""				"ステンレスメッシュ サイクルグローブ ( 品番 #1130377 )"
"サイクール グローブ ( 品番 #1130378 )"	0	""	1	"日本"	"日本"	1	243.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"甲側に吸水拡散性・通気性・消臭機能を備えた素材を使用することで真夏でも快適な着け心地をキープするアクティブなグローブです。手首の屈曲を妨げないよう、丈を短めに設定。手のひらだけでなく、親指と人差し指の間にも緩衝フォームを封入しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.033	0		""				"サイクール グローブ ( 品番 #1130378 )"
"サイクルトレーナー グローブ ( 品番 #1130343 )"	0	""	1	"日本"	"日本"	1	377.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"秋口や春先の使用に適したサイクルグローブです。素材が持つ伸縮性により、ストレスを感じさせない抜群の操作性を実現。裏面が起毛地になっているため適度な保温性があり、汗も素早く吸収拡散します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.05	0		""				"サイクルトレーナー グローブ ( 品番 #1130343 )"
"サイクル ハンドウォーマー ( 品番 #1130346 )"	0	""	1	"日本"	"日本"	1	231.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"冬季のサイクリングで、特に冷えやすい指先や手の甲部分の防風性を高めたいときに、グローブの上から装着するウォーマーです。手のひら部分の生地をくり抜いているため、グローブのグリップ操作性を損なうことなく使用できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.092	0		""				"サイクル ハンドウォーマー ( 品番 #1130346 )"
"ウィンドストッパー サイクルグローブ ( 品番 #1130351 )"	0	""	1	"日本"	"日本"	1	334.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"万全の防風性を備えるウィンドストッパーファブリクスを採用した、ソフトな風合いのグローブです。甲側にストレッチ性のある素材を使用することで優れたフィット感と操作性を実現しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.047	0		""				"ウィンドストッパー サイクルグローブ ( 品番 #1130351 )"
"ウィンドストッパー インシュレーテッド サイクルグローブ ( 品番 #1130352 )"	0	""	1	"日本"	"日本"	1	419.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"モンベル・サイクリンググローブの中で最も高い防風性と保温性を備えたグローブです。裏地には優しい肌触りのシャミースを採用するなど、着け心地のよさも追求しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.089	0		""				"ウィンドストッパー インシュレーテッド サイクルグローブ ( 品番 #1130352 )"
