﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"ウール マウンテングローブ ( 品番 #1108735 )"	0	""	1	"日本"	"日本"	1	163.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ざっくりとした風合いに仕上げた厚手のウール製グローブです。高い耐久性と保温性を実現し、寒冷地での単体使用はもちろんのこと、オーバーグローブと併用しての冬季登山にも適しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.105	0		""				"ウール マウンテングローブ ( 品番 #1108735 )"
"ウール トレールグローブ ( 品番 #1108736 )"	0	""	1	"日本"	"日本"	1	146.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"上質で滑らかな肌触りのメリノウールを使用した中厚手のグローブです。保温性と手のひら感覚に優れるため、大変汎用性が高く、トレッキング時の単体使いはもちろんのこと、オーバーグローブとの併用にも適しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.09	0		""				"ウール トレールグローブ ( 品番 #1108736 )"
"グリッパー ( 品番 #1108738 )"	0	""	1	"日本"	"日本"	1	84.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"アクリルとウールの混紡糸をかさ高く編み上げ、高い保温性と耐久性を持たせた防寒用グローブです。手のひらにはグリップ効果を高めるラバーをドット状に溶着。トレッキングから野外作業まで、さまざまな場面で活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.065	0		""				"グリッパー ( 品番 #1108738 )"
"アルパイングローブ ウールニットライナー Men's ( 品番 #1108862 )"	0	""	1	"日本"	"日本"	1	325.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"メリノウールを使用した糸をかさ高く編み上げることで、高い保温性を確保した「OutDryアルパイングローブ」交換用ライナーです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.108	0		""				"アルパイングローブ ウールニットライナー Men's ( 品番 #1108862 )"
"アルパイングローブ ウールニットライナー Women's ( 品番 #1108863 )"	0	""	1	"日本"	"日本"	1	325.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"メリノウールを使用した糸をかさ高く編み上げることで、高い保温性を確保した「OutDryアルパイングローブ」交換用ライナーです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.091	0		""				"アルパイングローブ ウールニットライナー Women's ( 品番 #1108863 )"
"アルパイングローブフィット ウールニットライナー Men's ( 品番 #1108864 )"	0	""	1	"日本"	"日本"	1	325.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"メリノウールを使用した糸を中厚手に編み上げることで、優れた手のひら感覚と暖かさを確保した「OutDryアルパイングローブ フィット」交換用ライナーです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.081	0		""				"アルパイングローブフィット ウールニットライナー Men's ( 品番 #1108864 )"
"アルパイングローブフィット ウールニットライナー Women's ( 品番 #1108865 )"	0	""	1	"日本"	"日本"	1	325.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"メリノウールを使用した糸を中厚手に編み上げることで、優れた手のひら感覚と暖かさを確保した「OutDryアルパイングローブ フィット」交換用ライナーです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.068	0		""				"アルパイングローブフィット ウールニットライナー Women's ( 品番 #1108865 )"
"アルパイン トリガーフィンガーミトン ウールニットライナー ( 品番 #1108866 )"	0	""	1	"日本"	"日本"	1	325.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"太いウール糸をかさ高く編み上げることで、卓越した保温性を実現した「OutDryアルパイン トリガーフィンガーミトン」交換用ライナーです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.101	0		""				"アルパイン トリガーフィンガーミトン ウールニットライナー ( 品番 #1108866 )"
"ウールニットグローブ タッチ ( 品番 #1108868 )"	0	""	1	"日本"	"日本"	1	189.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"暖かなウールを丁寧に編み込むことで、優れた保温性とストレッチ性を持たせた中厚手のグローブです。グローブを装着したままでもスマートフォンなどのタッチパネル操作を行なうことが可能です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.057	0		""				"ウールニットグローブ タッチ ( 品番 #1108868 )"
"ウールニット ハイランドグローブ ( 品番 #1108870 )"	0	""	1	"日本"	"日本"	1	240.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"暖かなウールをかさ高く編み上げることで、高い保温性を備えた厚手のグローブです。トレッキングから野外作業、日常使いまで幅広く活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.109	0		""				"ウールニット ハイランドグローブ ( 品番 #1108870 )"
"グリッパー Kid's ( 品番 #1108739 )"	0	""	1	"日本"	"日本"	1	67.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"アクリルとウールの混紡糸をかさ高く編み上げた、丈夫で暖かなグローブです。手のひら部分には滑り止めゴムをドット状に溶着しているので、トレッキングや野外活動、通学など、さまざまな場面で活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.045	0		""				"グリッパー Kid's ( 品番 #1108739 )"
