﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"メリノウール トラベル アンクルソックス ( 品番 #1108905 )"	0	""	1	"日本"	"日本"	1	104.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ウール特有の吸放湿性により、心地よい肌ざわりを持ったソックスです。寒い季節の普段履きとしてもおすすめです。天然の抗菌防臭効果により臭いの発生を抑えます。通勤や通学などのシーンにも幅広く活用できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.036	0		""				"メリノウール トラベル アンクルソックス ( 品番 #1108905 )"
"メリノウール トラベル アンクルソックス Women's ( 品番 #1108906 )"	0	""	1	"日本"	"日本"	1	99.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ウール特有の吸放湿性により、心地よい肌ざわりを持ったソックスです。寒い季節の普段履きとしてもおすすめです。天然の抗菌防臭効果により臭いの発生を抑えます。通勤や通学などのシーンにも幅広く活用できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.034	0		""				"メリノウール トラベル アンクルソックス Women's ( 品番 #1108906 )"
"WIC.トラベル アンクルソックス Women's ( 品番 #1108907 )"	0	""	1	"日本"	"日本"	1	90.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"薄手でゴロつき感がなく、汗を素早く吸収拡散するソックスです。汗や水に濡れても肌にまとわりつかず、すぐに乾きます。抗菌防臭効果も備えています。通勤や通学などのシーンにも幅広く活用できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.032	0		""				"WIC.トラベル アンクルソックス Women's ( 品番 #1108907 )"
"WIC.トラベル アンクルソックス ( 品番 #1108936 )"	0	""	1	"日本"	"日本"	1	90.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"薄手でゴロつき感がなく、汗を素早く吸収拡散するソックスです。汗や水に濡れても肌にまとわりつかず、すぐに乾きます。抗菌防臭効果も備えています。通勤や通学などのシーンにも幅広く活用できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.035	0		""				"WIC.トラベル アンクルソックス ( 品番 #1108936 )"
"コアスパン トラベル アンクルソックス ( 品番 #1108937 )"	0	""	1	"日本"	"日本"	1	90.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ポリエステルを芯糸とし、まわりをコットンで包みこんだ芯鞘構造糸、コアスパンを使用したソックスです。コットンの風合いはそのままに、優れた速乾性と高い強度を併せ持ちます。抗菌防臭加工を施しています。通勤や通学などのシーンにも幅広く活用できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.038	0		""				"コアスパン トラベル アンクルソックス ( 品番 #1108937 )"
"ウイックロン トラベル ソックス ( 品番 #1108639 )"	0	""	1	"日本"	"日本"	1	99.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"薄手でゴロつき感がなく、汗を素早く吸収拡散するソックスです。通勤や通学などのシーンにも幅広く活用できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.061	0		""				"ウイックロン トラベル ソックス ( 品番 #1108639 )"
"ウイックロン トラベル 5トゥーズソックス ( 品番 #1108641 )"	0	""	1	"日本"	"日本"	1	116.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"薄手でゴロつき感がなく、汗を素早く吸収拡散する5本指ソックスです。通勤や通学などのシーンにも幅広く活用できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.057	0		""				"ウイックロン トラベル 5トゥーズソックス ( 品番 #1108641 )"
"メリノウール トラベル ソックス ( 品番 #1108646 )"	0	""	1	"日本"	"日本"	1	116.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ウール特有の吸放湿性により、心地よい肌ざわりを持ったソックスです。通勤や通学などのシーンにも幅広く活用できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.065	0		""				"メリノウール トラベル ソックス ( 品番 #1108646 )"
"メリノウール トラベル 5トゥーズソックス ( 品番 #1108647 )"	0	""	1	"日本"	"日本"	1	129.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ウール特有の吸放湿性により、心地よい肌ざわりを持った5本指ソックスです。通勤や通学などのシーンにも幅広く活用できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.059	0		""				"メリノウール トラベル 5トゥーズソックス ( 品番 #1108647 )"
