﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"クリマプラス100 キャンプシューズ ( 品番 #1108002 )"	0	""	1	"日本"	"日本"	1	253.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"キャンプやロッジ泊まりなどで足元を暖めてくれる室内用防寒シューズです。かかと部分に取りつけたタブで素早く装着できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.095	0		""				"クリマプラス100 キャンプシューズ ( 品番 #1108002 )"
"クリマプラス100 サーマタビ ( 品番 #1108003 )"	0	""	1	"日本"	"日本"	1	206.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"作務衣（さむえ）や和服にもマッチする防寒用足袋です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.061	0		""				"クリマプラス100 サーマタビ ( 品番 #1108003 )"
"クリマプラス100 コンパクト トラベルシューズ ( 品番 #1108004 )"	0	""	1	"日本"	"日本"	1	240.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"乗り物での移動時や宿泊先などで便利な防寒シューズです。付属のスタッフバッグに収納すればジャケットのポケットに収まるほどコンパクトになります。スタッフバッグつき。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.067	0		""				"クリマプラス100 コンパクト トラベルシューズ ( 品番 #1108004 )"
"クリマプラス100 キャンプシューズ Kid's ( 品番 #1108009 )"	0	""	1	"日本"	"日本"	1	197.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"キャンプや旅先で足元を暖めてくれる室内用防寒シューズです。柔らかく伸縮性のある生地を使用しているためたいへん履き心地がよく、足入れ部分と甲からかかとにかけてゴムを縫い込むことでフィット感を高めています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.057	0		""				"クリマプラス100 キャンプシューズ Kid's ( 品番 #1108009 )"
"クリマプラス100 ソックスフィット ( 品番 #1108011 )"	0	""	1	"日本"	"日本"	1	171.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"フィット感が高く、フットウォーマーのインナーソックスに最適です。全面に伸縮性のある暖かなフリース地を使用し、全ての縫い目を平らにすることでゴロつき感をなくしています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.055	0		""				"クリマプラス100 ソックスフィット ( 品番 #1108011 )"
"テントシューズカバー ( 品番 #1108343 )"	0	""	1	"日本"	"日本"	1	394.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"テントシューズの上からはき、雪の上に出られるテントシューズカバー。積雪期のキャンプに最適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.135	0		""				"テントシューズカバー ( 品番 #1108343 )"
"シャミース ソックス Baby's ( 品番 #1108629 )"	0	""	1	"日本"	"日本"	1	103.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"肌ざわりがよく暖かい赤ちゃん用くつ下です。底面には滑り止めをつけました。出産祝いなどにも喜ばれるアイテムです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.015	0		""				"シャミース ソックス Baby's ( 品番 #1108629 )"
"クリマプラス 100 プリント ソックスフィット ( 品番 #1108770 )"	0	""	1	"日本"	"日本"	1	171.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"フィット感が高く、フットウォーマーのインナーに最適なソックスに、華やかな柄をあしらったモデルです。全面に伸縮性のある暖かなフリース地を使用し、全ての縫い目を平らにすることでごろつき感をなくしています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.055	0		""				"クリマプラス 100 プリント ソックスフィット ( 品番 #1108770 )"
"クリマプラス 100 プリント キャンプシューズ ( 品番 #1108771 )"	0	""	1	"日本"	"日本"	1	253.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"キャンプやロッジ泊などで足元を暖めてくれる室内用防寒シューズに、華やかな柄をあしらったモデルです。履き口部分に取り付けたループタブで素早く装着できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.095	0		""				"クリマプラス 100 プリント キャンプシューズ ( 品番 #1108771 )"
