﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"シャミース スカーフ ( 品番 #1108143 )"	0	""	1	"日本"	"日本"	1	137.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"柔らかな肌ざわりのスカーフです。へッドバンド、頭巾、ネックゲーターとさまざまな使い方ができます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"シャミース スカーフ ( 品番 #1108143 )"
"クリマツイード マフラー ( 品番 #1108441 )"	0	""	1	"日本"	"日本"	1	206.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ツイード調の落ち着いた風合いのマフラーです。繊維が細かく密集しているので、防風性や保温性に優れています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"クリマツイード マフラー ( 品番 #1108441 )"
"クリマプラス200 マフラー ( 品番 #1108443 )"	0	""	1	"日本"	"日本"	1	180.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"保温性の高いフリース地のマフラーです。伸縮性が高く、両面起毛地なので心地よい肌ざわりです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"クリマプラス200 マフラー ( 品番 #1108443 )"
"シャミース マフラー Jr. ( 品番 #1108480 )"	0	""	1	"日本"	"日本"	1	78.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ソフトで心地よい肌ざわりのマフラーです。お子様をはじめ女性にもお使いいただけます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"シャミース マフラー Jr. ( 品番 #1108480 )"
"コード シャミース マフラー ( 品番 #1108721 )"	0	""	1	"日本"	"日本"	1	129.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"細かい霜降り調のストライプ模様を持たせた、可愛い雰囲気のマフラーです。薄手でコンパクトに収納できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"コード シャミース マフラー ( 品番 #1108721 )"
"ダウン マフラー ( 品番 #1108722 )"	0	""	1	"日本"	"日本"	1	248.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"高い保温性を持ちながらも、大変軽量でコンパクトに収まるマフラーです。しなやかな素材に高品質グースダウンを封入。生地には撥水加工を施しているため、多少の小雨や雪、汚れをはじきます。表と裏で色が異なるリバーシブル仕様です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.034	0		""				"ダウン マフラー ( 品番 #1108722 )"
"ダウン ネックウォーマー ( 品番 #1108723 )"	0	""	1	"日本"	"日本"	1	197.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"しなやかな素材に高品質グースダウンを封入した、超軽量・コンパクトなネックゲーターです。帽子を装着したままでもスナップボタンで簡単に着脱することができ、秋山散策やバードウォッチング、天体観測などで肌寒いときにポケットからサッと取り出して手軽に首元を保温することができます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.015	0		""				"ダウン ネックウォーマー ( 品番 #1108723 )"
"クリマエア マフラー ( 品番 #1108790 )"	0	""	1	"日本"	"日本"	1	129.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"毛足が長く、独特の風合いを持つ、可愛らしい印象のマフラーです。軽量ながら大変暖かく、折り畳んでもかさばらないので携行に便利です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"クリマエア マフラー ( 品番 #1108790 )"
"シャミース マフラー ( 品番 #1108795 )"	0	""	1	"日本"	"日本"	1	95.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"肌触りが優しく、柔らかなマフラーです。薄手でコンパクトに収まるので、携行にも便利です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"シャミース マフラー ( 品番 #1108795 )"
