﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"WIC.クール ネックゲーター ( 品番 #1108934 )"	0	""	1	"日本"	"日本"	1	162.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群の通気性と吸水速乾性を備えたネックゲーターです。首元から目元まですっぽりと覆うことが可能で、炎天下でも効果的に日差しを遮ります。光触媒効果による消臭機能を備え、汗をかきやすい季節でもにおいを気にせず快適に着用できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"WIC.クール ネックゲーター ( 品番 #1108934 )"
"スーパーメリノウール バラクラバ ( 品番 #1108017 )"	0	""	1	"日本"	"日本"	1	180.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"上質なウール素材を使用したバラクラバです。伸縮性が高く、チクチク感のない心地よい肌ざわり。鼻部分には調節可能な樹脂製の芯を採用することで、メガネやゴーグルをかけていても曇りにくくしています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"スーパーメリノウール バラクラバ ( 品番 #1108017 )"
"ネックゲーター クリマプラス200 ( 品番 #1108685 )"	0	""	1	"日本"	"日本"	1	214.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ヘッドバンドとネックゲーターを合体させたユニークな形状のアイテムです。上部を下げれば通常のネックゲーターとして使用可能。ヘルメットとの併用にも適しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"ネックゲーター クリマプラス200 ( 品番 #1108685 )"
"スーパーネックゲーター クリマプラス200 ( 品番 #1108686 )"	0	""	1	"日本"	"日本"	1	180.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"中厚手の生地を二重にした、抜群の保温性を持つネックゲーターです。裾がスカート状に広がり、首筋から肩口までを覆えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"スーパーネックゲーター クリマプラス200 ( 品番 #1108686 )"
"スーパーメリノウール ネックゲーター ( 品番 #1108694 )"	0	""	1	"日本"	"日本"	1	137.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"上質なウール素材を使用したネックゲーターです。チクチク感のないなめらかな肌ざわりで暖かく、優れた伸縮性を併せ持つため、さまざまなアクティビティで活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"スーパーメリノウール ネックゲーター ( 品番 #1108694 )"
"ストレッチ クリマプラス200 バラクラバ ( 品番 #1108697 )"	0	""	1	"日本"	"日本"	1	223.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"暖かさと機能性を両立したバラクラバです。口元内側には制菌防臭効果と速乾性に優れたジオラインを採用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"ストレッチ クリマプラス200 バラクラバ ( 品番 #1108697 )"
"ネオプレン フェイス バラクラバ ( 品番 #1108717 )"	0	""	1	"日本"	"日本"	1	308.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"極寒地での使用にも耐え得る抜群の防風・保温性を備え、場面や用途に合わせて4通りの使い方ができる高機能バラクラバです。目出し部分を大きく開いてもこめかみ部にすき間を作らず、しっかりとカバーします。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"ネオプレン フェイス バラクラバ ( 品番 #1108717 )"
"ネオプレン フェイス ネックゲーター ( 品番 #1108718 )"	0	""	1	"日本"	"日本"	1	223.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"冬季登山やスキーなどのウインタースポーツに最適なネックゲーターです。メイン生地に中厚手で暖かなクリマプラス200を、口や鼻を覆う部分には裏側にパイル地を付けたネオプレンを採用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"ネオプレン フェイス ネックゲーター ( 品番 #1108718 )"
"シャミース オ-プンネックゲーター ( 品番 #1108719 )"	0	""	1	"日本"	"日本"	1	129.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"帽子やゴーグルを装着したままでも、スナップボタンで簡単に着脱できるネックゲーターです。大変コンパクトに収まり、行動中でも素早く首元を暖めることができます。フィット感は3段階に調節できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"シャミース オ-プンネックゲーター ( 品番 #1108719 )"
"クリマプラス 100 プリント アジャスタブルネックゲーター ( 品番 #1108791 )"	0	""	1	"日本"	"日本"	1	95.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群のストレッチ性とコンパクト性を備えるフリース素材に華やかな柄をあしらったネックゲーターです。上部のコードでフィット感を調節できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"クリマプラス 100 プリント アジャスタブルネックゲーター ( 品番 #1108791 )"
"クリマプラス 100 プリント ネックゲーター Kid's ( 品番 #1108793 )"	0	""	1	"日本"	"日本"	1	86.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"適度なボリュームで暖かく、柔らかさと伸縮性も備えたネックゲーターです。かわいらしい柄をあしらったフリース素材を使用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"クリマプラス 100 プリント ネックゲーター Kid's ( 品番 #1108793 )"
"スーパーメリノウール ネックゲーター ロング ( 品番 #1108894 )"	0	""	1	"日本"	"日本"	1	206.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"上質なウール素材を使用したロング丈のネックゲーターです。チクチク感のない滑らかな肌触りで暖かく、優れたストレッチ性を備えます。首元から目元まで覆うことができ、折り方によって多彩な着用パターンが可能となり、マルチに活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"スーパーメリノウール ネックゲーター ロング ( 品番 #1108894 )"
"MC.バラクラバ ( 品番 #1131416 )"	0	""	1	"日本"	"日本"	1	214.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"頭部に薄手のジオライン、風を受ける鼻から下部は肌ざわりのよい薄手のフリースを使用。ヘルメットを被ってもゴロつき感や蒸れが少なくなっています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.043	0		""				"MC.バラクラバ ( 品番 #1131416 )"
"グレイシャープロテクター ( 品番 #1870507 )"	0	""	1	"日本"	"日本"	1	257.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"立体的なデザインで呼吸しやすく、適度なベンチレーション機能を搭載した高性能ネックウォーマーです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"グレイシャープロテクター ( 品番 #1870507 )"
"グレイシャーバンダナ ( 品番 #1870508 )"	0	""	1	"日本"	"日本"	1	257.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"冷気から耳を守るイヤー・ポケットを搭載。ベロクロでサイズ調整可能なポリエステル100%の高性能プリントバンダナ。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"グレイシャーバンダナ ( 品番 #1870508 )"
