﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"サーマラップ ジャケット Kid's ( 品番 #1101448 )"	0	""	1	"日本"	"日本"	1	564.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"キルトのある表面とフラットな裏面で、2つの色とデザインを楽しめるリバーシブル仕様の中綿入りジャケットです。汚れてもご家庭で手軽に洗濯でき、中綿の片寄りもありません。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.251	0		""				"サーマラップ ジャケット Kid's ( 品番 #1101448 )"
"サーマラップ ジャケット Kid's ( 品番 #1101449 )"	0	""	1	"日本"	"日本"	1	505.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"キルトのある表面とフラットな裏面で、2つの色とデザインを楽しめるリバーシブル仕様の中綿入りジャケットです。汚れてもご家庭で手軽に洗濯でき、中綿の片寄りもありません。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.203	0		""				"サーマラップ ジャケット Kid's ( 品番 #1101449 )"
"サーマラップ パーカ Kid's ( 品番 #1101451 )"	0	""	1	"日本"	"日本"	1	590.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"キルトのある表面とフラットな裏面で、2つの色とデザインを楽しめるリバーシブル仕様の中綿入りパーカです。汚れてもご家庭で手軽に洗濯でき、中綿の片寄りもありません。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.292	0		""				"サーマラップ パーカ Kid's ( 品番 #1101451 )"
"サーマラップ パーカ Kid's ( 品番 #1101452 )"	0	""	1	"日本"	"日本"	1	530.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"キルトのある表面とフラットな裏面で、2つの色とデザインを楽しめるリバーシブル仕様の中綿入りパーカです。汚れてもご家庭で手軽に洗濯でき、中綿の片寄りもありません。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.236	0		""				"サーマラップ パーカ Kid's ( 品番 #1101452 )"
"サーマラップ ベスト Kid's ( 品番 #1101454 )"	0	""	1	"日本"	"日本"	1	479.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"キルトのある表面とフラットな裏面で、2つの色とデザインを楽しめるリバーシブル仕様の中綿入りベストです。汚れてもご家庭で手軽に洗濯でき、中綿の片寄りもありません。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.188	0		""				"サーマラップ ベスト Kid's ( 品番 #1101454 )"
"サーマラップ ベスト Kid's ( 品番 #1101455 )"	0	""	1	"日本"	"日本"	1	419.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"キルトのある表面とフラットな裏面で、2つの色とデザインを楽しめるリバーシブル仕様の中綿入りベストです。汚れてもご家庭で手軽に洗濯でき、中綿の片寄りもありません。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.149	0		""				"サーマラップ ベスト Kid's ( 品番 #1101455 )"
"パウダーライトジャケット Kid's ( 品番 #1102428 )"	0	""	1	"日本"	"日本"	1	675.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"雪遊びやスキーに最適な中綿入りジャケットです。中綿には暖かく、お手入れも簡単なエクセロフトを採用。子どもの成長に合わせてサイズ調整が行えるため、長く着用していただけます。 ※防水性はありません。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.488	0		""				"パウダーライトジャケット Kid's ( 品番 #1102428 )"
"パウダーライトジャケット Kid's ( 品番 #1102429 )"	0	""	1	"日本"	"日本"	1	633.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"雪遊びやスキーに最適な中綿入りジャケットです。中綿には暖かく、お手入れも簡単なエクセロフトを採用。子どもの成長に合わせてサイズ調整が行えるため、長く着用していただけます。 ※防水性はありません。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.393	0		""				"パウダーライトジャケット Kid's ( 品番 #1102429 )"
"ネージュダウンジャケット Kid's ( 品番 #1101370 )"	0	""	1	"日本"	"日本"	1	667.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"冬の定番ダウンジャケットに大人用と同じ機能やシステムを採用したアイテムです。良質なグースダウンを封入し、軽い着心地と高い保温性を実現。寒さからしっかりと身体を守り、活発な動きも快適にサポートします。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.23	0		""				"ネージュダウンジャケット Kid's ( 品番 #1101370 )"
"ネージュダウンジャケット Kid's ( 品番 #1101371 )"	0	""	1	"日本"	"日本"	1	590.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"冬の定番ダウンジャケットに大人用と同じ機能やシステムを採用したアイテムです。良質なグースダウンを封入し、軽い着心地と高い保温性を実現。寒さからしっかりと身体を守り、活発な動きも快適にサポートします。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.17	0		""				"ネージュダウンジャケット Kid's ( 品番 #1101371 )"
"リバーシブル ダウンパーカ Kid's ( 品番 #1101372 )"	0	""	1	"日本"	"日本"	1	701.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"たいへん暖かく、軽い着心地のダウンパーカです。1着で2種類の色が楽しめるリバーシブル仕様です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.245	0		""				"リバーシブル ダウンパーカ Kid's ( 品番 #1101372 )"
"リバーシブル ダウンパーカ Kid's ( 品番 #1101373 )"	0	""	1	"日本"	"日本"	1	633.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"たいへん暖かく、軽い着心地のダウンパーカです。1着で2種類の色が楽しめるリバーシブル仕様です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.18	0		""				"リバーシブル ダウンパーカ Kid's ( 品番 #1101373 )"
