﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"シャミース ジャケット Kid's ( 品番 #1104874 )"	0	""	1	"日本"	"日本"	1	308.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"薄手で軽量ながら、高い保温性を持つジャケットです。優しい肌触りで着心地もよく、秋口にはアウターとして、冬には中間着として幅広く活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.192	0		""				"シャミース ジャケット Kid's ( 品番 #1104874 )"
"シャミース ジャケット Kid's ( 品番 #1104875 )"	0	""	1	"日本"	"日本"	1	291.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"薄手で軽量ながら、高い保温性を持つジャケットです。優しい肌触りで着心地もよく、秋口にはアウターとして、冬には中間着として幅広く活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.144	0		""				"シャミース ジャケット Kid's ( 品番 #1104875 )"
"シャミース プルオーバー Kid's ( 品番 #1104876 )"	0	""	1	"日本"	"日本"	1	282.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"薄手で軽量ながら、高い保温性を持つプルオーバーです。優しい肌触りで着心地もよく、秋口にはアウターとして、冬には中間着として幅広く活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.155	0		""				"シャミース プルオーバー Kid's ( 品番 #1104876 )"
"シャミース プルオーバー Kid's ( 品番 #1104877 )"	0	""	1	"日本"	"日本"	1	265.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"薄手で軽量ながら、高い保温性を持つプルオーバーです。優しい肌触りで着心地もよく、秋口にはアウターとして、冬には中間着として幅広く活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.114	0		""				"シャミース プルオーバー Kid's ( 品番 #1104877 )"
"クリマプラス100 ジャケット Kid's ( 品番 #1106461 )"	0	""	1	"日本"	"日本"	1	334.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"適度な厚みでストレッチ性に優れるクリマプラス100を使用したジャケットです。軽量・コンパクトながら大変暖かく、肌寒い季節にフィールドを元気に駆け回る子どもに最適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.23	0		""				"クリマプラス100 ジャケット Kid's ( 品番 #1106461 )"
"クリマプラス100 ジャケット Kid's ( 品番 #1106462 )"	0	""	1	"日本"	"日本"	1	308.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"適度な厚みでストレッチ性に優れるクリマプラス100を使用したジャケットです。軽量・コンパクトながら大変暖かく、肌寒い季節にフィールドを元気に駆け回る子どもに最適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.17	0		""				"クリマプラス100 ジャケット Kid's ( 品番 #1106462 )"
"クリマプラス100 ライトスウェット Kid's ( 品番 #1106463 )"	0	""	1	"日本"	"日本"	1	248.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"適度な厚みでストレッチ性に優れるクリマプラス100を使用したシンプルなアイテムです。程よいフィット感で動きやすく、外遊びや普段使い、旅行など幅広く使用できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.18	0		""				"クリマプラス100 ライトスウェット Kid's ( 品番 #1106463 )"
"クリマプラス100 ライトスウェット Kid's ( 品番 #1106464 )"	0	""	1	"日本"	"日本"	1	223.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"適度な厚みでストレッチ性に優れるクリマプラス100を使用したシンプルなアイテムです。程よいフィット感で動きやすく、外遊びや普段使い、旅行など幅広く使用できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.125	0		""				"クリマプラス100 ライトスウェット Kid's ( 品番 #1106464 )"
"プリント ライトスウェット Kid's ( 品番 #1106475 )"	0	""	1	"日本"	"日本"	1	274.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"適度な厚みでストレッチ性に優れるクリマプラス100を使用したスウェットに可愛らしいプリント柄を配したモデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.18	0		""				"プリント ライトスウェット Kid's ( 品番 #1106475 )"
