﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"ライトネオプレン ジップアップ ( 品番 #1127288 )"	0	""	1	"日本"	"日本"	1	812.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群のストレッチ性を持った0.5mm厚の極薄ネオプレンを使用し、快適性と保温性を実現したシリーズです。カヌーや沢登りなど暑い時期に単体で使用することはもちろん、寒い季節にはインナーとして使用することもでき、季節やアクティビティに幅広く対応します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.41	0		""				"ライトネオプレン ジップアップ ( 品番 #1127288 )"
"ライトネオプレン タンクトップ ( 品番 #1127289 )"	0	""	1	"日本"	"日本"	1	445.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群のストレッチ性を持った0.5mm厚の極薄ネオプレンを使用し、快適性と保温性を実現したシリーズです。カヌーや沢登りなど暑い時期に単体で使用することはもちろん、寒い季節にはインナーとして使用することもでき、季節やアクティビティに幅広く対応します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.19	0		""				"ライトネオプレン タンクトップ ( 品番 #1127289 )"
"ライトネオプレン ハーフスリーブ ( 品番 #1127290 )"	0	""	1	"日本"	"日本"	1	599.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群のストレッチ性を持った0.5mm厚の極薄ネオプレンを使用し、快適性と保温性を実現したシリーズです。カヌーや沢登りなど暑い時期に単体で使用することはもちろん、寒い季節にはインナーとして使用することもでき、季節やアクティビティに幅広く対応します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.29	0		""				"ライトネオプレン ハーフスリーブ ( 品番 #1127290 )"
"ステンレスメッシュオーシャンプルオーバー ( 品番 #1127193 )"	0	""	1	"日本"	"日本"	1	923.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"遮熱性の高いステンレスを特殊な加工法でメッシュ地に被膜させ、真夏のシーカヤッキング時の陽射しを強力に遮る耐久性・耐候性の高いアウターシェルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.21	0		""				"ステンレスメッシュオーシャンプルオーバー ( 品番 #1127193 )"
"アリュートオーシャンアノラック ( 品番 #1127263 )"	0	""	1	"日本"	"日本"	1	1436.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"防水透湿性や通気性、撥水性にも優れたカヤックツーリング用アウターシェルです。日帰りから長期ツーリングまで、オールシーズン幅広く対応します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.6	0		""				"アリュートオーシャンアノラック ( 品番 #1127263 )"
"U.L.クリルオーシャンアノラック ( 品番 #1127326 )"	0	""	1	"日本"	"日本"	1	940.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ツーリングなどで風の強い時にサッと羽織れる超軽量アウターシェルです。高い撥水性と強度を備えた超極薄素材を用い、非常に小さく収納できるため携行に便利です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.17	0		""				"U.L.クリルオーシャンアノラック ( 品番 #1127326 )"
"アクアボディ ハーフスリーブシャツ Men's ( 品番 #1127340 )"	0	""	1	"日本"	"日本"	1	411.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"擦り傷などのけがや日焼けからの肌の保護に大変有効で、世界最高レベルの撥水性により、体の冷えを防ぐシリーズです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.18	0		""				"アクアボディ ハーフスリーブシャツ Men's ( 品番 #1127340 )"
"アクアボディ ロングスリーブシャツ Men's ( 品番 #1127341 )"	0	""	1	"日本"	"日本"	1	462.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"「アクアボディ ハーフスリーブシャツ」の長袖モデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.215	0		""				"アクアボディ ロングスリーブシャツ Men's ( 品番 #1127341 )"
"アクアボディ ロングスリーブシャツ Women's ( 品番 #1127342 )"	0	""	1	"日本"	"日本"	1	385.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"「アクアボディ ハーフスリーブシャツ」の長袖モデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.185	0		""				"アクアボディ ロングスリーブシャツ Women's ( 品番 #1127342 )"
