﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"パドリングトランクス Men's ( 品番 #1127368 )"	0	""	1	"日本"	"日本"	1	440.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"パドルスポーツからアクアスポーツまで、さまざまなウォーターアクティビティで着用できるショーツです。ストレッチ生地を採用しているため、水に濡れてもつっぱりにくく、快適なはき心地。生地表面には撥水加工を施すことで保水しにくくし、ドライ感を保つとともに、速乾性も高めています。腰部分には、メッシュ地を効果的に配置し、入水時の空気によるふくらみを防いでいます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.192	0		""				"パドリングトランクス Men's ( 品番 #1127368 )"
"パドリングトランクス Women's ( 品番 #1127369 )"	0	""	1	"日本"	"日本"	1	422.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"パドルスポーツからアクアスポーツまで、さまざまなウォーターアクティビティで着用できるショーツです。ストレッチ生地を採用しているため、水に濡れてもつっぱりにくく、快適なはき心地。生地表面には撥水加工を施すことで保水しにくくし、ドライ感を保つとともに、速乾性も高めています。腰部分には、メッシュ地を効果的に配置し、入水時の空気によるふくらみを防いでいます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.166	0		""				"パドリングトランクス Women's ( 品番 #1127369 )"
"ライトネオプレン ショーツ ( 品番 #1127291 )"	0	""	1	"日本"	"日本"	1	556.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群のストレッチ性を持った0.5mm厚の極薄ネオプレンを使用し、快適性と保温性を実現したシリーズです。カヌーや沢登りなど暑い時期に単体で使用することはもちろん、寒い季節にはインナーとして使用することもでき、季節やアクティビティに幅広く対応します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.23	0		""				"ライトネオプレン ショーツ ( 品番 #1127291 )"
"ライトネオプレン タイツ ( 品番 #1127292 )"	0	""	1	"日本"	"日本"	1	752.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群のストレッチ性を持った0.5mm厚の極薄ネオプレンを使用し、快適性と保温性を実現したシリーズです。カヌーや沢登りなど暑い時期に単体で使用することはもちろん、寒い季節にはインナーとして使用することもでき、季節やアクティビティに幅広く対応します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.36	0		""				"ライトネオプレン タイツ ( 品番 #1127292 )"
"ネオプレン パドリングタイツ Men's ( 品番 #1127238 )"	0	""	1	"日本"	"日本"	1	1154.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"保温性を確保し、プロテクション効果も高いタイツです。パドリング姿勢を自然に保てる立体パターンで、たいへん動きやすくなっています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.695	0		""				"ネオプレン パドリングタイツ Men's ( 品番 #1127238 )"
"ネオプレン パドリングタイツ Women's ( 品番 #1127239 )"	0	""	1	"日本"	"日本"	1	1111.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"保温性を確保し、プロテクション効果も高いタイツです。パドリング姿勢を自然に保てる立体パターンで、たいへん動きやすくなっています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.595	0		""				"ネオプレン パドリングタイツ Women's ( 品番 #1127239 )"
"リバーガイドショーツ ( 品番 #1127244 )"	0	""	1	"日本"	"日本"	1	522.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ラフティング・ガイドのアイデアを採り入れ、使い勝手の良さと十分な強度、激しい水流でもズリ下がらないフィット感を持ったショーツです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.32	0		""				"リバーガイドショーツ ( 品番 #1127244 )"
"リバーガイドニッカ ( 品番 #1127325 )"	0	""	1	"日本"	"日本"	1	675.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ラフティング・ガイドのアイデアを採り入れ、使い勝手の良さと十分な強度、激しい水流でもズリ下がらないフィット感を持ったショーツです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.425	0		""				"リバーガイドニッカ ( 品番 #1127325 )"
"アクアボディ ショーツ ( 品番 #1127344 )"	0	""	1	"日本"	"日本"	1	394.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"「アクアボディ ハーフスリーブシャツ」と同素材を使用したショーツで、「リバーガイドショーツ」などのインナーとしてもご使用いただけます。素肌に着用しても透けないよう、股部分に当て布を付けています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.145	0		""				"アクアボディ ショーツ ( 品番 #1127344 )"
