﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"アクアボディ グローブ ( 品番 #1127351 )"	0	""	1	"日本"	"日本"	1	334.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"アクアボディシリーズ同様、高い撥水性を持たせたグローブです。伸縮性に優れるので快適な着け心地で、擦り傷や紫外線からの手のひらの保護にも役立ちます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.042	0		""				"アクアボディ グローブ ( 品番 #1127351 )"
"ネオプレン パドリングキャップ ( 品番 #1127275 )"	0	""	1	"日本"	"日本"	1	189.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ヘルメットを装着しても窮屈感のない薄さながら、高い保温性を実現しています。縫い目にはフラットシーマー処理を施してゴロつき感を解消。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.085	0		""				"ネオプレン パドリングキャップ ( 品番 #1127275 )"
"ネオプレン パドリングフード ( 品番 #1127276 )"	0	""	1	"日本"	"日本"	1	223.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"額からアゴ下までを開け、激しいパドリングの際にも口や鼻を覆ってしまうことがないようにしています。縫い目にはフラットシーマー処理を施してゴロつき感を解消。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.07	0		""				"ネオプレン パドリングフード ( 品番 #1127276 )"
"ネオプレン パドルポギー ( 品番 #1127279 )"	0	""	1	"日本"	"日本"	1	334.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"寒い時期でも、より積極的にパドルを素手で扱うことができるアクセサリーです。パドルに巻き付けるように装着してベルクロで留め、手を入れて直接素手で握って使います。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.21	0		""				"ネオプレン パドルポギー ( 品番 #1127279 )"
"ネオプレン パドリンググローブ ( 品番 #1127277 )"	0	""	1	"日本"	"日本"	1	334.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"防寒性に優れたグローブです。指部分に施した立体裁断や、掌下部に設けたパドルサポートにより、抜群のグリップ力を誇ります。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.16	0		""				"ネオプレン パドリンググローブ ( 品番 #1127277 )"
"ネオプレン オープンパームミトン ( 品番 #1127278 )"	0	""	1	"日本"	"日本"	1	248.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"手の保護と防寒を兼ねながら、パドルを持つ掌の感覚にも優れたミトンタイプです。掌部分をくり抜いてパドルを素手で握ることができるデザインです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.1	0		""				"ネオプレン オープンパームミトン ( 品番 #1127278 )"
"カヤック ニーパッド ( 品番 #1127170 )"	0	""	1	"日本"	"日本"	1	153.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"カヤックのサイブレイスに押さえつける膝をやさしく保護するパッドです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.06	0		""				"カヤック ニーパッド ( 品番 #1127170 )"
"カナディアン ニーパッド ( 品番 #1127171 )"	0	""	1	"日本"	"日本"	1	216.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"オープンデッキカヌーで膝をついてパドリングする際に膝を保護します。裏側は膝下側がベルクロ留めになっています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.2	0		""				"カナディアン ニーパッド ( 品番 #1127171 )"
"クイックマント ( 品番 #1124020 )"	0	""	1	"日本"	"日本"	1	394.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"首から下をすっぽりと被うことができ、野外で着替える時などに重宝します。ポケッタブル仕様で携行にも便利です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.45	0		""				"クイックマント ( 品番 #1124020 )"
