﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"サイクール ハーフスリーブジップシャツ Men's ( 品番 #1130362 )"	0	""	1	"日本"	"日本"	1	548.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群の通気性と吸水速乾性を発揮し、UVカット効果や光触媒効果による消臭機能も備えたハーフスリーブジップシャツです。体に程よくフィットするシルエットでばたつきを軽減。汗をかきやすい季節でもストレスのない快適なツーリングをサポートします。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.123	0		""				"サイクール ハーフスリーブジップシャツ Men's ( 品番 #1130362 )"
"サイクール ロングスリーブジップシャツ Men's ( 品番 #1130363 )"	0	""	1	"日本"	"日本"	1	593.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群の通気性と吸水速乾性を発揮し、UVカット効果や光触媒効果による消臭機能も備えたロングスリーブジップシャツです。体に程よくフィットするシルエットでばたつきを軽減。汗をかきやすい季節でもストレスのない快適なツーリングをサポートします。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.148	0		""				"サイクール ロングスリーブジップシャツ Men's ( 品番 #1130363 )"
"WIC.サイクルジャージ #1 ( 品番 #1130371 )"	0	""	1	"日本"	"日本"	1	772.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"吸水速乾性に優れ、光触媒効果による消臭機能も備えた素材を使用したサイクルジャージです。適度なフィット感を持たせることでばたつきを軽減。ストレッチ性に優れるのでライディング時の動きも妨げません。アクティブなサイクリングを意識したオリジナルプリントを施しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.137	0		""				"WIC.サイクルジャージ #1 ( 品番 #1130371 )"
"WIC.サイクルジャージ #2 ( 品番 #1130372 )"	0	""	1	"日本"	"日本"	1	772.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"吸水速乾性に優れ、光触媒効果による消臭機能も備えた素材を使用したサイクルジャージです。適度なフィット感を持たせることでばたつきを軽減。ストレッチ性に優れるのでライディング時の動きも妨げません。アクティブなサイクリングを意識したオリジナルプリントを施しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.137	0		""				"WIC.サイクルジャージ #2 ( 品番 #1130372 )"
"サイクライムジャケット Men's ( 品番 #1106499 )"	0	""	1	"日本"	"日本"	1	923.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"トレッキングからクライミング、サイクリングまで、多用途に活躍する高機能ジャケットです。前方からの冷たい風をしっかりとブロックするとともに、バックパックを背負った際などにウエア内にこもりがちとなる熱気や蒸れを効果的に放出します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.37	0		""				"サイクライムジャケット Men's ( 品番 #1106499 )"
"サイクライムジャケット Women's ( 品番 #1106500 )"	0	""	1	"日本"	"日本"	1	889.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"トレッキングからクライミング、サイクリングまで、多用途に活躍する高機能ジャケットです。前方からの冷たい風をしっかりとブロックするとともに、バックパックを背負った際などにウエア内にこもりがちとなる熱気や蒸れを効果的に放出します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.325	0		""				"サイクライムジャケット Women's ( 品番 #1106500 )"
"ウインドバイカー Men's ( 品番 #1130276 )"	0	""	1	"日本"	"日本"	1	564.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"コストパフォーマンスに優れた自転車専用ウインドブレーカー。表面には優れた撥水性を誇るポルカテックス加工を施し、小雨程度なら難なくはじきます。ポケッタブル仕様。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.15	0		""				"ウインドバイカー Men's ( 品番 #1130276 )"
"ウインドバイカー Women's ( 品番 #1130277 )"	0	""	1	"日本"	"日本"	1	547.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"コストパフォーマンスに優れた自転車専用ウインドブレーカー。表面には優れた撥水性を誇るポルカテックス加工を施し、小雨程度なら難なくはじきます。ポケッタブル仕様。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.14	0		""				"ウインドバイカー Women's ( 品番 #1130277 )"
"ライトシェル サイクルジャケット ( 品番 #1130280 )"	0	""	1	"日本"	"日本"	1	838.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"優れたストレッチ性を持ち、ツーリングから通勤通学まで一年を通して幅広く活躍する軽量なジャケットです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.26	0		""				"ライトシェル サイクルジャケット ( 品番 #1130280 )"
