﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"サイクル ニーロングタイツ Men's ( 品番 #1130367 )"	0	""	1	"日本"	"日本"	1	682.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"紫外線劣化が起こりにくく、耐久性に優れたストレッチ素材を採用した薄手のショーツです。ライディング姿勢に合わせた立体裁断を施すことで快適なペダリングをサポート。高い通気性を備え、春から秋にかけてのサイクリングに最適です。ウエスト内側にコインポケット付き。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.166	0		""				"サイクル ニーロングタイツ Men's ( 品番 #1130367 )"
"サイクル ロングタイツ Men's ( 品番 #1130368 )"	0	""	1	"日本"	"日本"	1	799.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"適度な保温性と吸水拡散性を併せ持った中厚手のタイツです。高いストレッチ性とソフトな肌触りで足の動きを妨げず、快適なペダリングをサポート。肌寒い季節のサイクリングに最適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.243	0		""				"サイクル ロングタイツ Men's ( 品番 #1130368 )"
"サイクル インナーショーツ Men's ( 品番 #1130369 )"	0	""	1	"日本"	"日本"	1	386.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"クッション性・ストレッチ性・通気性に優れた薄手の3Dストレッチパッドを縫い付けたインナーショーツです。パッド自体が縦横2方向によく伸び、さらに男女それぞれの体つきに合わせたパターンを採用しているため、ペダリング時も体にぴったりとフィット。肌触りも滑らかで、擦れのない快適な着用感を実現しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.102	0		""				"サイクル インナーショーツ Men's ( 品番 #1130369 )"
"サイクル インナーショーツ Women's ( 品番 #1130370 )"	0	""	1	"日本"	"日本"	1	359.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"クッション性・ストレッチ性・通気性に優れた薄手の3Dストレッチパッドを縫い付けたインナーショーツです。パッド自体が縦横2方向によく伸び、さらに男女それぞれの体つきに合わせたパターンを採用しているため、ペダリング時も体にぴったりとフィット。肌触りも滑らかで、擦れのない快適な着用感を実現しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.088	0		""				"サイクル インナーショーツ Women's ( 品番 #1130370 )"
"サイクルショーツ Men's ( 品番 #1130398 )"	0	""	1	"日本"	"日本"	1	646.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"紫外線劣化が起こりにくく、耐久性に優れたストレッチ素材を採用した薄手のショーツです。ライディング姿勢に合わせた立体裁断を施すことで快適なペダリングをサポート。高い通気性を備え、春から秋にかけてのサイクリングに最適です。ウエスト内側にコインポケット付き。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.134	0		""				"サイクルショーツ Men's ( 品番 #1130398 )"
"ウインターサイクルパンツ Men's ( 品番 #1130325 )"	0	""	1	"日本"	"日本"	1	1009.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"卓越した保温性と伸縮性を併せ持つ厚手の高機能タイツです。抜群の通気性とクッション性を併せ持つ3Dストレッチパッドを採用し、繊維間を汗や風が通り抜けるため蒸れにくく、ロングライドも快適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.29	0		""				"ウインターサイクルパンツ Men's ( 品番 #1130325 )"
"ウインターサイクルパンツ Women's ( 品番 #1130326 )"	0	""	1	"日本"	"日本"	1	992.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"卓越した保温性と伸縮性を併せ持つ厚手の高機能タイツです。抜群の通気性とクッション性を併せ持つ3Dストレッチパッドを採用し、繊維間を汗や風が通り抜けるため蒸れにくく、ロングライドも快適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.26	0		""				"ウインターサイクルパンツ Women's ( 品番 #1130326 )"
"サイクル ニーロング タイツ Women's ( 品番 #1130330 )"	0	""	1	"日本"	"日本"	1	658.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"紫外線劣化が起こりにくく、耐久性に優れたストレッチ素材を使用したひざ下丈の薄手のタイツです。抜群の通気性とクッション性を併せ持つ3Dストレッチパッドを採用し、繊維間を汗や風が通り抜けるため蒸れにくく、ロングライドも快適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.15	0		""				"サイクル ニーロング タイツ Women's ( 品番 #1130330 )"
"サイクル ロングタイツ Women's ( 品番 #1130332 )"	0	""	1	"日本"	"日本"	1	761.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"適度な保温性と吸水拡散性を併せ持った中厚手のタイツです。抜群の通気性とクッション性を併せ持つ3Dストレッチパッドを採用し、繊維間を汗や風が通り抜けるため蒸れにくく、ロングライドも快適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.23	0		""				"サイクル ロングタイツ Women's ( 品番 #1130332 )"
"サイクル ツーリングショーツ Women's ( 品番 #1130339 )"	0	""	1	"日本"	"日本"	1	624.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"紫外線劣化が起こりにくく、耐久性に優れたストレッチ素材を採用した薄手のショーツです。ライディング姿勢に合わせた立体裁断を施すことで快適なペダリングをサポートします。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.138	0		""				"サイクル ツーリングショーツ Women's ( 品番 #1130339 )"
