﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"ライトシェル ジャケット Men's ( 品番 #1106517 )"	0	""	1	"日本"	"日本"	1	616.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"撥水性・防風性・保温性・吸汗性・ストレッチ性、これら全ての性質を高次元で併せ持つジャケットです。脇部分にストレッチ素材を用いることで動きやすさを高めています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.225	0		""				"ライトシェル ジャケット Men's ( 品番 #1106517 )"
"ライトシェル ジャケット Women's ( 品番 #1106518 )"	0	""	1	"日本"	"日本"	1	582.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"撥水性・防風性・保温性・吸汗性・ストレッチ性、これら全ての性質を高次元で併せ持つジャケットです。脇部分にストレッチ素材を用いることで動きやすさを高めています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.194	0		""				"ライトシェル ジャケット Women's ( 品番 #1106518 )"
"ライトシェル パーカ Men's ( 品番 #1106509 )"	0	""	1	"日本"	"日本"	1	752.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"撥水性・防風性・保温性・吸汗性・ストレッチ性、これら全ての性質を高次元で併せ持つパーカです。身幅にゆとりを持たせているため、アウターとして着用した際もごわつきにくくなっています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.315	0		""				"ライトシェル パーカ Men's ( 品番 #1106509 )"
"ライトシェル パーカ Women's ( 品番 #1106510 )"	0	""	1	"日本"	"日本"	1	718.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"撥水性・防風性・保温性・吸汗性・ストレッチ性、これら全ての性質を高次元で併せ持つパーカです。身幅にゆとりを持たせているため、アウターとして着用した際もごわつきにくくなっています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.275	0		""				"ライトシェル パーカ Women's ( 品番 #1106510 )"
"ライトシェル アウタージャケット Men's ( 品番 #1106515 )"	0	""	1	"日本"	"日本"	1	667.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"撥水性・防風性・保温性・吸汗性・ストレッチ性、これら全ての性質を高次元で併せ持つジャケットです。身幅にゆとりを持たせているため、アウターとして着用した際もごわつきにくくなっています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.273	0		""				"ライトシェル アウタージャケット Men's ( 品番 #1106515 )"
"ライトシェル アウタージャケット Women's ( 品番 #1106516 )"	0	""	1	"日本"	"日本"	1	633.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"撥水性・防風性・保温性・吸汗性・ストレッチ性、これら全ての性質を高次元で併せ持つジャケットです。身幅にゆとりを持たせているため、アウターとして着用した際もごわつきにくくなっています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.24	0		""				"ライトシェル アウタージャケット Women's ( 品番 #1106516 )"
"ライトシェル ベスト Men's ( 品番 #1106519 )"	0	""	1	"日本"	"日本"	1	564.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"撥水性・防風性・保温性・吸汗性・ストレッチ性、これら全ての性質を高次元で併せ持つベストです。脇部分にストレッチ素材を用いることで動きやすさを高めています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.186	0		""				"ライトシェル ベスト Men's ( 品番 #1106519 )"
"ライトシェル ベスト Women's ( 品番 #1106520 )"	0	""	1	"日本"	"日本"	1	547.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"撥水性・防風性・保温性・吸汗性・ストレッチ性、これら全ての性質を高次元で併せ持つベストです。脇部分にストレッチ素材を用いることで動きやすさを高めています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.159	0		""				"ライトシェル ベスト Women's ( 品番 #1106520 )"
"ウルトラライトシェル ジャケット Men's ( 品番 #1106521 )"	0	""	1	"日本"	"日本"	1	675.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"一般的なTシャツよりもさらに軽い、平均重量128gを達成した超軽量ジャケットです。脇下部分に設けたベンチレーションにより、運動量の多い場面でも快適な着心地を実現します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.128	0		""				"ウルトラライトシェル ジャケット Men's ( 品番 #1106521 )"
