﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"シャミース インナージャケット Men's ( 品番 #1104867 )"	0	""	1	"日本"	"日本"	1	419.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"大変軽量ながら高い保温性を持つ薄手のジャケットです。程よいフィット感で重ね着しやすく、中間着に最適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.248	0		""				"シャミース インナージャケット Men's ( 品番 #1104867 )"
"シャミース アウタージャケット Women's ( 品番 #1104868 )"	0	""	1	"日本"	"日本"	1	411.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"大変軽量ながら高い保温性を持つ薄手のジャケットです。ゆったりとしたシルエットで重ね着しやすく、少し長めの丈設定で腰回りまでカバーします。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.26	0		""				"シャミース アウタージャケット Women's ( 品番 #1104868 )"
"シャミース ジャケット Women's ( 品番 #1104871 )"	0	""	1	"日本"	"日本"	1	411.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"大変軽量ながら高い保温性を持つ薄手のジャケットです。適度なゆとりを持たせたシルエットで、アウターとしても中間着としても活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.236	0		""				"シャミース ジャケット Women's ( 品番 #1104871 )"
"クリマプラス100 プリントジャケット Men's ( 品番 #1106471 )"	0	""	1	"日本"	"日本"	1	547.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"適度な厚みで柔らかく、優れた伸縮性を併せ持つため秋冬を通して多目的に活躍するジャケットにプリント柄を施したモデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.35	0		""				"クリマプラス100 プリントジャケット Men's ( 品番 #1106471 )"
"クリマプラス100 プリントジャケット Women's ( 品番 #1106472 )"	0	""	1	"日本"	"日本"	1	530.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"適度な厚みで柔らかく、優れた伸縮性を併せ持つため秋冬を通して多目的に活躍するジャケットにプリント柄を施したモデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.3	0		""				"クリマプラス100 プリントジャケット Women's ( 品番 #1106472 )"
"クリマプラス 100 アウタージャケット Men's ( 品番 #1106481 )"	0	""	1	"日本"	"日本"	1	496.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"適度な厚みで柔らかく、秋冬を通して多目的に活躍するジャケットです。ゆったりとしたシルエットで重ね着しやすく、長めの着丈が腰回りまでカバーします。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.356	0		""				"クリマプラス 100 アウタージャケット Men's ( 品番 #1106481 )"
"クリマプラス 100 アウタージャケット Women's ( 品番 #1106482 )"	0	""	1	"日本"	"日本"	1	471.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"適度な厚みで柔らかく、秋冬を通して多目的に活躍するジャケットです。ゆったりとしたシルエットで重ね着しやすく、長めの着丈が腰回りまでカバーします。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.316	0		""				"クリマプラス 100 アウタージャケット Women's ( 品番 #1106482 )"
"クリマエア ジャケット Men's ( 品番 #1106483 )"	0	""	1	"日本"	"日本"	1	752.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量でありながら、生地表面の長い毛足が空気をたっぷりと蓄えるため大変暖かく、中間着として高いパフォーマンスを発揮するジャケットです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.425	0		""				"クリマエア ジャケット Men's ( 品番 #1106483 )"
"クリマエア ジャケット Women's ( 品番 #1106484 )"	0	""	1	"日本"	"日本"	1	727.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量でありながら、生地表面の長い毛足が空気をたっぷりと蓄えるため大変暖かく、中間着として高いパフォーマンスを発揮するジャケットです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.375	0		""				"クリマエア ジャケット Women's ( 品番 #1106484 )"
"トレールアクションジャケット Men's ( 品番 #1106501 )"	0	""	1	"日本"	"日本"	1	539.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群のストレッチ性を備え、保温性にも優れたアクティブ仕様のジャケットです。冬季登山やアイスクライミングなど、激しい動きを伴う場面で真価を発揮します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.368	0		""				"トレールアクションジャケット Men's ( 品番 #1106501 )"
"トレールアクションジャケット Women's ( 品番 #1106502 )"	0	""	1	"日本"	"日本"	1	513.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群のストレッチ性を備え、保温性にも優れたアクティブ仕様のジャケットです。冬季登山やアイスクライミングなど、激しい動きを伴う場面で真価を発揮します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.301	0		""				"トレールアクションジャケット Women's ( 品番 #1106502 )"
"トレールアクションパーカ Men's ( 品番 #1106503 )"	0	""	1	"日本"	"日本"	1	582.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群のストレッチ性を備え、保温性にも優れたアクティブ仕様のパーカです。フードはフィット感が高く、ジッパーを上げると目元以外の部位をすっぽりと覆えるため、バラクラバのような使い方が可能。冬季登山やアイスクライミングなど、激しい動きを伴う場面で真価を発揮します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.381	0		""				"トレールアクションパーカ Men's ( 品番 #1106503 )"
"トレールアクションパーカ Women's ( 品番 #1106504 )"	0	""	1	"日本"	"日本"	1	556.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群のストレッチ性を備え、保温性にも優れたアクティブ仕様のパーカです。フードはフィット感が高く、ジッパーを上げると目元以外の部位をすっぽりと覆えるため、バラクラバのような使い方が可能。冬季登山やアイスクライミングなど、激しい動きを伴う場面で真価を発揮します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.333	0		""				"トレールアクションパーカ Women's ( 品番 #1106504 )"
