﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"シャミース ライニングジャケット Men's ( 品番 #1104918 )"	0	""	1	"日本"	"日本"	1	556.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"裏地を付けて防風性を高めたジャケットです。幅広い年齢層の方に着用していただけるシルエットで、インナーとの滑りがよく重ね着しやすい仕様です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.264	0		""				"シャミース ライニングジャケット Men's ( 品番 #1104918 )"
"シャミース ライニングジャケット Women's ( 品番 #1104919 )"	0	""	1	"日本"	"日本"	1	530.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"裏地を付けて防風性を高めたジャケットです。幅広い年齢層の方に着用していただけるシルエットで、インナーとの滑りがよく重ね着しやすい仕様です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.264	0		""				"シャミース ライニングジャケット Women's ( 品番 #1104919 )"
"クリマプラス200 ライニングジャケット Men's ( 品番 #1106457 )"	0	""	1	"日本"	"日本"	1	675.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"適度なボリューム感のジャケットに、防風性に優れる裏地を付けることで保温性を高めたアウター向けモデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.535	0		""				"クリマプラス200 ライニングジャケット Men's ( 品番 #1106457 )"
"クリマプラス200 ライニングジャケット Women's ( 品番 #1106458 )"	0	""	1	"日本"	"日本"	1	641.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"適度なボリューム感のジャケットに、防風性に優れる裏地を付けることで保温性を高めたアウター向けモデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.46	0		""				"クリマプラス200 ライニングジャケット Women's ( 品番 #1106458 )"
"クリマエア ライニングジャケット Men's ( 品番 #1106485 )"	0	""	1	"日本"	"日本"	1	812.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"高い保温性と軽量性を両立したクリマエアに、ナイロンの裏地を付けることで防風性を高めたジャケットです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.495	0		""				"クリマエア ライニングジャケット Men's ( 品番 #1106485 )"
"クリマエア ライニングジャケット Women's ( 品番 #1106486 )"	0	""	1	"日本"	"日本"	1	786.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"高い保温性と軽量性を両立したクリマエアに、ナイロンの裏地を付けることで防風性を高めたジャケットです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.45	0		""				"クリマエア ライニングジャケット Women's ( 品番 #1106486 )"
"クリマウール ウィンドストッパー ジャケット Women's ( 品番 #1106514 )"	0	""	1	"日本"	"日本"	1	1615.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"高い保温性を持つクリマウールに、防風透湿性に優れたウィンドストッパーファブリクスを組み合わせたアウタージャケットです。シンプルなデザインで、場面を選ばず着用していただけます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.502	0		""				"クリマウール ウィンドストッパー ジャケット Women's ( 品番 #1106514 )"
"クリマウール ウィンドストッパー ジャケット Men's ( 品番 #1106391 )"	0	""	1	"日本"	"日本"	1	1701.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"高い保温性を持つクリマウールに、防風透湿性に優れたウィンドストッパーファブリクスを組み合わせたアウタージャケットです。シーンを選ばず着用していただけます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.58	0		""				"クリマウール ウィンドストッパー ジャケット Men's ( 品番 #1106391 )"
"クリマプラス100 ウィズシェルジャケット ( 品番 #1102391 )"	0	""	1	"日本"	"日本"	1	735.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽くて暖かい薄手のフリース地に、防風性に優れるシェルを組み合わせたジャケットです。すっきりとしたシルエットでキャンプサイトやタウンユースなど多用途に活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.7	0		""				"クリマプラス100 ウィズシェルジャケット ( 品番 #1102391 )"
