﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"U.L.ダウン ガイドパーカ Men's ( 品番 #1101384 )"	0	""	1	"日本"	"日本"	1	1316.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"袖とひじ部分に立体裁断を施すことで運動性を高めたパーカです。冷気の侵入と熱の放出を防ぐコンシールジッパーを採用し、アウターとしても着用しやすい2トーンデザインに仕上げています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.277	0		""				"U.L.ダウン ガイドパーカ Men's ( 品番 #1101384 )"
"U.L.ダウン ガイドパーカ Women's ( 品番 #1101385 )"	0	""	1	"日本"	"日本"	1	1282.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"袖とひじ部分に立体裁断を施すことで運動性を高めたパーカです。冷気の侵入と熱の放出を防ぐコンシールジッパーを採用し、アウターとしても着用しやすい2トーンデザインに仕上げています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.244	0		""				"U.L.ダウン ガイドパーカ Women's ( 品番 #1101385 )"
"U.L.ダウン ジャケットMen's ( 品番 #1101374 )"	0	""	1	"日本"	"日本"	1	1094.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"驚異的な軽量コンパクト性で一年を通して活躍するジャケットです。フロントジッパー付きでアウターとしても使用しやすいモデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.202	0		""				"U.L.ダウン ジャケットMen's ( 品番 #1101374 )"
"U.L.ダウン ジャケットWomen's ( 品番 #1101375 )"	0	""	1	"日本"	"日本"	1	1077.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"驚異的な軽量コンパクト性で一年を通して活躍するジャケットです。フロントジッパー付きでアウターとしても使用しやすいモデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.178	0		""				"U.L.ダウン ジャケットWomen's ( 品番 #1101375 )"
"プラズマ 1000ダウン ジャケット ( 品番 #1101460 )"	0	""	1	"日本"	"日本"	1	2290.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"モンベルが誇る最高の技術と素材を用いて生み出された、世界最軽量※のダウンクロージング。モンベルの真骨頂であるLight&Fastを実感していただける、まさに究極の一着と言えます。（意匠登録済） ※2013年7月モンベル調べ（同じ保温性を持つダウンジャケットにおいて）"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.132	0		""				"プラズマ 1000ダウン ジャケット ( 品番 #1101460 )"
"EXライトアルパインダウンジャケット ( 品番 #1101415 )"	0	""	1	"日本"	"日本"	1	2376.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"超軽量と耐久性を両立させた極薄シェル素材に、超高品質900フィルパワー・EXグースダウンをたっぷりと封入したジャケットです。冬季登山にも耐え得る高い保温性と、携行時にもほとんど負担を感じさせない軽量・コンパクト性を実現しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.293	0		""				"EXライトアルパインダウンジャケット ( 品番 #1101415 )"
"EXライトダウンジャケット Men's ( 品番 #1101416 )"	0	""	1	"日本"	"日本"	1	1658.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群の保温性と世界最高レベルの軽量性により、暖かな空気に包まれているかのような着心地を実現したジャケットです。寒い季節の中間着用途から温度変化の激しい夏山でのアウター用途まで一年を通して活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.17	0		""				"EXライトダウンジャケット Men's ( 品番 #1101416 )"
"EXライトダウンジャケット Women's ( 品番 #1101417 )"	0	""	1	"日本"	"日本"	1	1572.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群の保温性と世界最高レベルの軽量性により、暖かな空気に包まれているかのような着心地を実現したジャケットです。寒い季節の中間着用途から温度変化の激しい夏山でのアウター用途まで一年を通して活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.143	0		""				"EXライトダウンジャケット Women's ( 品番 #1101417 )"
"U.L.ダウン スナップジャケット Men's ( 品番 #1101420 )"	0	""	1	"日本"	"日本"	1	1077.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"フロントにスナップボタンを採用したジャケットです。アウター着用時にフロント部がごわつきにくく、快適な中間着として活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.175	0		""				"U.L.ダウン スナップジャケット Men's ( 品番 #1101420 )"
