﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"パーマフロスト ダウンパーカ ( 品番 #1101406 )"	0	""	1	"日本"	"日本"	1	2307.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"防風性に優れた軽快なジャケットです。中綿をドライに保ち保温力を持続させるため、さまざまな気象条件下や幅広いアクティビティで活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.528	0		""				"パーマフロスト ダウンパーカ ( 品番 #1101406 )"
"アルパイン ダウンパーカ Men's ( 品番 #1101407 )"	0	""	1	"日本"	"日本"	1	1538.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"厳冬期登山の防寒着として高いパフォーマンスを発揮するモデルです。アウターとして着用しやすい2トーンデザインを採用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.414	0		""				"アルパイン ダウンパーカ Men's ( 品番 #1101407 )"
"アルパイン ダウンパーカ Women's ( 品番 #1101408 )"	0	""	1	"日本"	"日本"	1	1470.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"厳冬期登山の防寒着として高いパフォーマンスを発揮するモデルです。アウターとして着用しやすい2トーンデザインを採用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.372	0		""				"アルパイン ダウンパーカ Women's ( 品番 #1101408 )"
"アルパインダウン ジャケット Men's ( 品番 #1101426 )"	0	""	1	"日本"	"日本"	1	1487.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"超高品質の800フィルパワー・EXグースダウンを、スリーピングバッグで培った箱マチ構造で封入し、軽やかな着心地と高い保温力を持たせたジャケットです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.385	0		""				"アルパインダウン ジャケット Men's ( 品番 #1101426 )"
"アルパインダウン ジャケット Women's ( 品番 #1101427 )"	0	""	1	"日本"	"日本"	1	1419.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"超高品質の800フィルパワー・EXグースダウンを、スリーピングバッグで培った箱マチ構造で封入し、軽やかな着心地と高い保温力を持たせたジャケットです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.329	0		""				"アルパインダウン ジャケット Women's ( 品番 #1101427 )"
"ライトアルパイン ダウンジャケット Men's ( 品番 #1101428 )"	0	""	1	"日本"	"日本"	1	1265.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽やかな着心地と暖かさを両立し、汎用性に優れたダウン・クロージングです。保温性と軽量コンパクト性を高いレベルで実現し、携行にも便利です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.31	0		""				"ライトアルパイン ダウンジャケット Men's ( 品番 #1101428 )"
"ライトアルパイン ダウンジャケット Women's ( 品番 #1101429 )"	0	""	1	"日本"	"日本"	1	1248.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽やかな着心地と暖かさを両立し、汎用性に優れたダウン・クロージングです。保温性と軽量コンパクト性を高いレベルで実現し、携行にも便利です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.275	0		""				"ライトアルパイン ダウンジャケット Women's ( 品番 #1101429 )"
"ライトアルパイン ダウンパーカ Men's ( 品番 #1101430 )"	0	""	1	"日本"	"日本"	1	1436.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽やかな着心地と暖かさを両立し、汎用性に優れたダウン・クロージングです。保温性と軽量コンパクト性を高いレベルで実現し、携行にも便利です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.364	0		""				"ライトアルパイン ダウンパーカ Men's ( 品番 #1101430 )"
"ライトアルパイン ダウンパーカ Women's ( 品番 #1101431 )"	0	""	1	"日本"	"日本"	1	1419.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽やかな着心地と暖かさを両立し、汎用性に優れたダウン・クロージングです。保温性と軽量コンパクト性を高いレベルで実現し、携行にも便利です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.319	0		""				"ライトアルパイン ダウンパーカ Women's ( 品番 #1101431 )"
"パウダーランド パーカ ( 品番 #1101443 )"	0	""	1	"日本"	"日本"	1	3401.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"厳冬期にも耐え得る高い保温性と防水透湿性を備えた、全天候型・防寒パーカです。お尻まですっぽりと包む丈の長さで大変暖かく、風雪の激しい状況でも快適に着用していただけます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.93	0		""				"パウダーランド パーカ ( 品番 #1101443 )"
"コロラドパーカ ( 品番 #1101445 )"	0	""	1	"日本"	"日本"	1	1436.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"光沢を抑えた落ちついた表情の表面と、キルトのある裏面とを、使用状況やコーディネートに合わせて使い分けることができるリバーシブル仕様のパーカです。生地には撥水加工を施しているため、小雨程度なら難なくはじき、汚れも付着しにくくなっています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.6	0		""				"コロラドパーカ ( 品番 #1101445 )"
"ローガンダウン パーカ ( 品番 #1101446 )"	0	""	1	"日本"	"日本"	1	2290.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"厳冬期の野外作業や冬のバードウォッチングなど、寒い中での運動量の少ないアクティビティに最適な防寒パーカです。顔に当たる風雪を和らげるフェイクファー付きフードを装備するなど、冬の厳しい気象状況にも対応する高い保温力を備えています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.07	0		""				"ローガンダウン パーカ ( 品番 #1101446 )"
"パーマフロスト ライトダウンジャケット Men's ( 品番 #1101342 )"	0	""	1	"日本"	"日本"	1	2051.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"防風性に優れた軽快なジャケットです。超高品質のダウンを独自のウェルデッドシングル構造で封入。さまざまな気候条件下や幅広いアクティビティで活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.361	0		""				"パーマフロスト ライトダウンジャケット Men's ( 品番 #1101342 )"
"パーマフロスト ライトダウンジャケット Women's ( 品番 #1101343 )"	0	""	1	"日本"	"日本"	1	1923.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"防風性に優れた軽快なジャケットです。超高品質のダウンを独自のウェルデッドシングル構造で封入。さまざまな気候条件下や幅広いアクティビティで活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.311	0		""				"パーマフロスト ライトダウンジャケット Women's ( 品番 #1101343 )"
"ベンティスカダウンジャケット Men's ( 品番 #1101312 )"	0	""	1	"日本"	"日本"	1	2205.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"極寒地にも耐えうる高い保温力と機能性をを確保したダウンジャケットです。摩耗しやすい肩から袖口にかけては耐久性の高い生地で補強しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.767	0		""				"ベンティスカダウンジャケット Men's ( 品番 #1101312 )"
