﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"フラットアイアンパーカ ( 品番 #1101388 )"	0	""	1	"日本"	"日本"	1	1521.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"気温が低い状況での行動着として活躍するエクセロフトシリーズの中で、最も高い保温性を実現したパーカです。防風性に優れる三枚差し構造で中綿をたっぷりと封入。生地にはポルカテックス加工を施し、多少の雨なら難なくはじき、汚れも付きにくくなっています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.483	0		""				"フラットアイアンパーカ ( 品番 #1101388 )"
"サーマランド パーカ Men's ( 品番 #1101409 )"	0	""	1	"日本"	"日本"	1	761.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"一着で二通りのデザインが楽しめるリバーシブル仕様のパーカです。適度なゆとりを持たせたシルエットで、アウターとして着用しやすくなっています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.451	0		""				"サーマランド パーカ Men's ( 品番 #1101409 )"
"サーマランド パーカ Women's ( 品番 #1101410 )"	0	""	1	"日本"	"日本"	1	727.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"一着で二通りのデザインが楽しめるリバーシブル仕様のパーカです。適度なゆとりを持たせたシルエットで、アウターとして着用しやすくなっています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.4	0		""				"サーマランド パーカ Women's ( 品番 #1101410 )"
"サーマランドコート Women's ( 品番 #1101444 )"	0	""	1	"日本"	"日本"	1	923.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"キルトがある表面とシンプルな表情の裏面とで、二通りのデザインが楽しめるリバーシブル仕様のコートです。光沢を抑えた落ち着いた雰囲気で、ウエストを程よくシェイプした女性らしいシルエットに仕上げています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.52	0		""				"サーマランドコート Women's ( 品番 #1101444 )"
"3in1 フォールライン パーカ Men's ( 品番 #1102432 )"	0	""	1	"日本"	"日本"	1	2205.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"季節や気温の変化に応じて3通りの使い方ができるパーカです。抜群の防水透湿性を持つアウターと高い保温性を備えたインナーはそれぞれ単体でも使用可能。冬季登山やスノーアクティビティ全般で活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.739	0		""				"3in1 フォールライン パーカ Men's ( 品番 #1102432 )"
"3in1 フォールライン パーカ Women's ( 品番 #1102433 )"	0	""	1	"日本"	"日本"	1	2205.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"季節や気温の変化に応じて3通りの使い方ができるパーカです。抜群の防水透湿性を持つアウターと高い保温性を備えたインナーはそれぞれ単体でも使用可能。冬季登山やスノーアクティビティ全般で活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.659	0		""				"3in1 フォールライン パーカ Women's ( 品番 #1102433 )"
"クリークジャケット ( 品番 #1126161 )"	0	""	1	"日本"	"日本"	1	2136.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"優れた防水透湿性を実現し、屈曲部に立体裁断を施すことでキャスティングのしやすさにも配慮した防寒ジャケットです。寒気の侵入も少なく、氷上のワカサギ釣りのように寒い中で動かない状況でも高い保温力を発揮します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.16	0		""				"クリークジャケット ( 品番 #1126161 )"
"アスペンパーカ Men's ( 品番 #1101412 )"	0	""	1	"日本"	"日本"	1	1863.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"単体でも使用できる中綿入りインナーを備え、季節や天候に合わせた3通りの使い分けができるパーカです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.708	0		""				"アスペンパーカ Men's ( 品番 #1101412 )"
"アスペンパーカ Women's ( 品番 #1101413 )"	0	""	1	"日本"	"日本"	1	1692.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"単体でも使用できる中綿入りインナーを備え、季節や天候に合わせた3通りの使い分けができるパーカです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.626	0		""				"アスペンパーカ Women's ( 品番 #1101413 )"
