﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"ドロワットパーカ Men's ( 品番 #1102434 )"	0	""	1	"日本"	"日本"	1	2546.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群の耐摩耗性を誇る独自のシェル素材を採用し、薄手ながら抜群の保温力を発揮するシンサレートをベスト状に封入することで暖かさも確保したモデル。冬のオールラウンドアウターとして幅広く活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.678	0		""				"ドロワットパーカ Men's ( 品番 #1102434 )"
"ドロワットパーカ Men's XXL ( 品番 #1102435 )"	0	""	1	"日本"	"日本"	1	2973.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群の耐摩耗性を誇る独自のシェル素材を採用し、薄手ながら抜群の保温力を発揮するシンサレートをベスト状に封入することで暖かさも確保したモデル。冬のオールラウンドアウターとして幅広く活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.785	0		""				"ドロワットパーカ Men's XXL ( 品番 #1102435 )"
"ドロワットパーカ Women's ( 品番 #1102436 )"	0	""	1	"日本"	"日本"	1	2546.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群の耐摩耗性を誇る独自のシェル素材を採用し、薄手ながら抜群の保温力を発揮するシンサレートをベスト状に封入することで暖かさも確保したモデル。冬のオールラウンドアウターとして幅広く活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.588	0		""				"ドロワットパーカ Women's ( 品番 #1102436 )"
"シャルモパーカ Men's ( 品番 #1102424 )"	0	""	1	"日本"	"日本"	1	1470.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"スノーシューや冬山ハイク、スキーなど、冬季のアウトドア・アクティビティに適した機能をバランスよく備えたパーカです。薄くても抜群の保温力を発揮するシンサレートをベスト状に封入しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.675	0		""				"シャルモパーカ Men's ( 品番 #1102424 )"
"シャルモパーカ Women's ( 品番 #1102425 )"	0	""	1	"日本"	"日本"	1	1436.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"スノーシューや冬山ハイク、スキーなど、冬季のアウトドア・アクティビティに適した機能をバランスよく備えたパーカです。薄くても抜群の保温力を発揮するシンサレートをベスト状に封入しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.58	0		""				"シャルモパーカ Women's ( 品番 #1102425 )"
"ストームジャケット Men's ( 品番 #1102426 )"	0	""	1	"日本"	"日本"	1	1419.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"スキーやスノーボード、スノーシューなど、冬山アクティビティ全般で幅広く活躍するジャケットです。薄くても抜群の保温力を発揮するシンサレートをベスト状に封入しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.62	0		""				"ストームジャケット Men's ( 品番 #1102426 )"
"ストームジャケット Women's ( 品番 #1102427 )"	0	""	1	"日本"	"日本"	1	1385.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"スキーやスノーボード、スノーシューなど、冬山アクティビティ全般で幅広く活躍するジャケットです。薄くても抜群の保温力を発揮するシンサレートをベスト状に封入しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.56	0		""				"ストームジャケット Women's ( 品番 #1102427 )"
"パウダーライトパーカ Men's ( 品番 #1102107 )"	0	""	1	"日本"	"日本"	1	1692.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"モンベルのアルパインウエアの中で最も高い保温性を実現したパーカです。発汗による湿気に対してロフト（かさ高さ）を失わず、保温力を持続するエクセロフトを全面に封入しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.765	0		""				"パウダーライトパーカ Men's ( 品番 #1102107 )"
"パウダーライトパーカ Women's ( 品番 #1102108 )"	0	""	1	"日本"	"日本"	1	1692.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"モンベルのアルパインウエアの中で最も高い保温性を実現したパーカです。発汗による湿気に対してロフト（かさ高さ）を失わず、保温力を持続するエクセロフトを全面に封入しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.725	0		""				"パウダーライトパーカ Women's ( 品番 #1102108 )"
