﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"フォトコンテナ ( 品番 #1123847 )"	0	""	1	"日本"	"日本"	1	1597.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"多くのカメラ機材を安全に運搬するためのバッグです。一般的な300mm/F2.8レンズを装着したカメラ本体と交換用レンズ、ストロボを収納可能。パックカバー付き。飛行機の機内に持ち込みできるサイズです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.72	0		""				"フォトコンテナ ( 品番 #1123847 )"
"プロテクション インナーバッグ S ( 品番 #1123851 )"	0	""	1	"日本"	"日本"	1	171.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"カメラなどの精密機器を衝撃から守るインナーバッグです。ジッパー内側には収納物を傷付けないジッパーガードを搭載。軽量ながらも緩衝能力に優れた素材を採用し、デイパックなどからの取り出しに便利な簡易ハンドルを装備しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.08	0		""				"プロテクション インナーバッグ S ( 品番 #1123851 )"
"プロテクション インナーバッグ M ( 品番 #1123852 )"	0	""	1	"日本"	"日本"	1	198.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"カメラなどの精密機器を衝撃から守るインナーバッグです。ジッパー内側には収納物を傷付けないジッパーガードを搭載。軽量ながらも緩衝能力に優れた素材を採用し、デイパックなどからの取り出しに便利な簡易ハンドルを装備しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.12	0		""				"プロテクション インナーバッグ M ( 品番 #1123852 )"
"プロテクション インナーバッグ L ( 品番 #1123853 )"	0	""	1	"日本"	"日本"	1	261.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"カメラなどの精密機器を衝撃から守るインナーバッグです。軽量ながらも緩衝能力に優れた素材を採用し、簡易ハンドルを装備しています。収納物の整理に便利な仕切りとショルダーベルトが付属します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.245	0		""				"プロテクション インナーバッグ L ( 品番 #1123853 )"
"プロテクション パックインバッグ ( 品番 #1123854 )"	0	""	1	"日本"	"日本"	1	288.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"カメラなどの精密機器を衝撃から守るインナーバッグです。バックパックの荷室の形状にフィットするラウンド形状で、無駄のないパッキングが可能です。簡易ハンドルを装備し、収納物の整理に便利な仕切りとショルダーベルトが付属します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.28	0		""				"プロテクション パックインバッグ ( 品番 #1123854 )"
"サワートレッカー ( 品番 #1125316 )"	0	""	1	"日本"	"日本"	1	853.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"沢登りに最適な軽量ウエイディングブーツです。アッパーには水抜けのよいメッシュ地を採用。足首部分には柔らかでフィット感の高いネオプレンを使用しているため、溯行時の足首の動きを妨げず、着脱もスムーズ。アウトソールには、耐久性に優れるポリプロピレン製フェルトを採用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.382	0		""				"サワートレッカー ( 品番 #1125316 )"
"サワートレッカー RS ( 品番 #1125317 )"	0	""	1	"日本"	"日本"	1	897.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"沢登りに最適な軽量ウエイディングブーツです。アッパーには水抜けのよいメッシュ地を採用。足首部分には柔らかでフィット感の高いネオプレンを使用しているため、着脱もスムーズ。アウトソールには、濡れた岩場でも優れたグリップ力を発揮するアクアグリッパーを採用しており、岩場の多いテクニカルなルートに最適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.365	0		""				"サワートレッカー RS ( 品番 #1125317 )"
"サワーシュ-ズ ( 品番 #1125318 )"	0	""	1	"日本"	"日本"	1	557.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"地下足袋とわらじに、モンベル独自のアイディアを投入して作られた沢登り用のシューズです。抜群のフィット感を備え、つま先内部が足袋のように指割れになっているため足ずれしにくく、快適な履き心地です。アウトソールには耐久性に優れるポリプロピレン製フェルトを採用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.328	0		""				"サワーシュ-ズ ( 品番 #1125318 )"
"サワタビ ( 品番 #1125319 )"	0	""	1	"日本"	"日本"	1	584.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"大変柔らかな履き心地で、足の動きに柔軟に追従するゴム底足袋です。アッパーには3mm厚のネオプレンを採用し、低水温時の着用に適した保温性を確保。アウトソールには濡れた岩場でも抜群のグリップ力を発揮するアクアグリッパーを採用。単体での使用はもちろんのこと、「サワーサンダル」を併用すればさらに高いグリップ性能を発揮します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.262	0		""				"サワタビ ( 品番 #1125319 )"
"サワークルーザー ( 品番 #1125320 )"	0	""	1	"日本"	"日本"	1	1777.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"沢登りに最適な軽量ウエイディングブーツです。アッパーには水抜けのよいメッシュ地を採用。足首部分には柔らかでフィット感の高いネオプレンを使用しているため、溯行時の足首の動きを妨げず、着脱もスムーズ。アウトソールには、コケやぬめりのある岩場でも圧倒的なグリップ力を誇るウールフェルトソールを採用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.448	0		""				"サワークルーザー ( 品番 #1125320 )"
