﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"アクアショックLスプレースカート ( 品番 #1852318 )"	0	""	1	"日本"	"日本"	1	987.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"手頃な価格でありながら、ボンバーギアのスプレースカートとしてのパフォーマンスを十分に備えたシリーズです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"アクアショックLスプレースカート ( 品番 #1852318 )"
"スコッティパドル クリップ ( 品番 #1855658 )"	0	""	1	"日本"	"日本"	1	180.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"パドルを使わない時、艇に固定しておくためのアイテムです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"スコッティパドル クリップ ( 品番 #1855658 )"
"スコッティギアヘッドトラックアダプター ( 品番 #1855659 )"	0	""	1	"日本"	"日本"	1	288.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"カメラやコンパスなどを艇に取り付けるため、マウントと一緒に使用するアダプターです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"スコッティギアヘッドトラックアダプター ( 品番 #1855659 )"
"ラム チューブロッドホルダー ジュニア ( 品番 #1855660 )"	0	""	1	"日本"	"日本"	1	404.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"スピニングリール、ベイトキャスティングリールの両方に対応します。※一部、取り付けのできないロッドもあります。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"ラム チューブロッドホルダー ジュニア ( 品番 #1855660 )"
"ラム アダプトポストトラックベース ( 品番 #1855661 )"	0	""	1	"日本"	"日本"	1	270.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"専用のアダプタを使用することで、スライドトラックスレールやYak Attackレールに付けられます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"ラム アダプトポストトラックベース ( 品番 #1855661 )"
"ラム ハードウエアキット ( 品番 #1855662 )"	0	""	1	"日本"	"日本"	1	90.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"RAMのギア・マウント・アダプタ類を取り付けるためのねじセット"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"ラム ハードウエアキット ( 品番 #1855662 )"
"YAKATTACK ブラックポリマー トラックマウント 4 ( 品番 #1855663 )"	0	""	1	"日本"	"日本"	1	225.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"YKTCスクリューボールをはじめ、YKTCシステムの取り付け用レールです。取り付けたマウントはレール上を簡単にスライドさせられるので、使い勝手も抜群に良いです。プラスチック素材"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"YAKATTACK ブラックポリマー トラックマウント 4 ( 品番 #1855663 )"
"YAKATTACK ブラックポリマー トラックマウント 8 ( 品番 #1855664 )"	0	""	1	"日本"	"日本"	1	315.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"YKTCスクリューボールをはじめ、YKTCシステムの取り付け用レールです。取り付けたマウントはレール上を簡単にスライドさせられるので、使い勝手も抜群に良いです。プラスチック素材"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"YAKATTACK ブラックポリマー トラックマウント 8 ( 品番 #1855664 )"
"YAKATTACK ブラックポリマー トラックマウント 12 ( 品番 #1855665 )"	0	""	1	"日本"	"日本"	1	404.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"YKTCスクリューボールをはじめ、YKTCシステムの取り付け用レールです。取り付けたマウントはレール上を簡単にスライドさせられるので、使い勝手も抜群に良いです。プラスチック素材"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"YAKATTACK ブラックポリマー トラックマウント 12 ( 品番 #1855665 )"
