﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"マタドールVCR ( 品番 #1861044 )"	0	""	1	"日本"	"日本"	1	1246.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ダウントウ形状をもち、前傾壁で真価を発揮するモデル。つま先には高いフッキング性能を発揮する大型パッチを装備。つま先側2本のベルクロの表地にはナイロンのウェビングテープを採用し耐久性を高めています。インソールは汗による滑りを防ぐ本革仕様。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"マタドールVCR ( 品番 #1861044 )"
"コロナVCR ( 品番 #1861045 )"	0	""	1	"日本"	"日本"	1	1149.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"エッジングとスメアリングを両立するトータルバランスに秀でたオールラウンドモデル。日本人の足にフィットするラスト（木型）を採用しているため、ヒールカップのホールド感は抜群です。ベルクロの表地はナイロンのウェビングテープを使用し、耐久性にも優れます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"コロナVCR ( 品番 #1861045 )"
"スピリットVCR ( 品番 #1861046 )"	0	""	1	"日本"	"日本"	1	1077.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"かかとの底に着地時の衝撃を和らげるインパクトゾーンを搭載し、屋外のボルダリングをはじめ、幅広く活躍するマルチユースモデル。3本締めベルクロが高いフィット感を実現。つま先側2本のベルクロはウェビングテープを使用し耐久性に優れます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"スピリットVCR ( 品番 #1861046 )"
"スピリット LADY VCR ( 品番 #1861047 )"	0	""	1	"日本"	"日本"	1	1077.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"かかとの底に着地時の衝撃を和らげるインパクトゾーンを搭載した女性用マルチユースモデル。快適な足入れ感を生むラストを用い、3本締めベルクロが高いフィット感を実現。ベルクロの表地にウェビングテープを採用し、耐久性にも優れます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"スピリット LADY VCR ( 品番 #1861047 )"
"スピリットSPEED ( 品番 #1861048 )"	0	""	1	"日本"	"日本"	1	987.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"履きやすいストレートシェイプのラストを用い、マルチピッチやトラッドクライミングなどで活躍するモデルです。着脱が楽にできるスピードレーシングを採用し、踵には衝撃を吸収するインパクトゾーンを搭載。マルチピッチでの歩行による移動にも対応します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"スピリットSPEED ( 品番 #1861048 )"
"バティック ( 品番 #1861155 )"	0	""	1	"日本"	"日本"	1	216.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ろうけつ染め素材のシリンダー形チョークバッグ。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"バティック ( 品番 #1861155 )"
"ペイズリー ( 品番 #1861156 )"	0	""	1	"日本"	"日本"	1	241.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"手の出し入れがしやすいスラントカット型チョークバッグ。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"ペイズリー ( 品番 #1861156 )"
"タブ ( 品番 #1861157 )"	0	""	1	"日本"	"日本"	1	225.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"丈夫なターポリン素材のスラントカット型チョークバッグ。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"タブ ( 品番 #1861157 )"
"カーゴチョークバッグ ( 品番 #1825221 )"	0	""	1	"日本"	"日本"	1	257.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"シリンダー正面に便利なファスナー式ポケット付きチョークバッグ。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"カーゴチョークバッグ ( 品番 #1825221 )"
"プロガイドライト ( 品番 #1825406 )"	0	""	1	"日本"	"日本"	1	377.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ガイドモードを備えた軽量ビレイデバイス。オートブロック作動時の解除に、スリングだけでなくカラビナをフックすることも可能です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.076	0		""				"プロガイドライト ( 品番 #1825406 )"
"プロトン ストレート ( 品番 #1825426 )"	0	""	1	"日本"	"日本"	1	146.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"スポーツクライミングの際、ロープクリッピングのしやすさと安全性を追求した形状のカラビナです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.047	0		""				"プロトン ストレート ( 品番 #1825426 )"
"プロトン ベント ( 品番 #1825427 )"	0	""	1	"日本"	"日本"	1	146.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"スポーツクライミングの際、ロープクリッピングのしやすさと安全性を追求した形状のカラビナです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.048	0		""				"プロトン ベント ( 品番 #1825427 )"
